"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"1","[0,0.0309]",0,0,0.284914152918154,0,0.0154356219843899,"1","linear","cilsmrsbl","equal"
"2","(0.0309,0.0585]",0,0,0.308497107818761,0,0.0446776203775903,"1","linear","cilsmrsbl","equal"
"3","(0.0585,0.14]",0.1,0.00252857854446179,0.445016117028195,1,0.0992682204556351,"1","linear","cilsmrsbl","equal"
"4","(0.14,1]",0.3,0.0667395111777345,0.652452850059997,3,0.570026222062435,"1","linear","cilsmrsbl","equal"
"5","[0,0.048]",0,0,0.284914152918154,0,0.0240087457119646,"2","linear","cilsmrsbl","equal"
"6","(0.048,0.0865]",0,0,0.308497107818761,0,0.0672801040345335,"2","linear","cilsmrsbl","equal"
"7","(0.0865,0.176]",0.1,0.00252857854446179,0.445016117028195,1,0.131125425149914,"2","linear","cilsmrsbl","equal"
"8","(0.176,1]",0.4,0.121552258119827,0.737621923393055,4,0.587854066827345,"2","linear","cilsmrsbl","equal"
"9","[0,0.0362]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0180956120626523,"3","linear","cilsmrsbl","equal"
"10","(0.0362,0.0674]",0.2,0.0252107263268334,0.556095462307641,2,0.0518080588163978,"3","linear","cilsmrsbl","equal"
"11","(0.0674,0.189]",0.2,0.0252107263268334,0.556095462307641,2,0.128258311164169,"3","linear","cilsmrsbl","equal"
"12","(0.189,1]",0.4,0.121552258119827,0.737621923393055,4,0.594545864410424,"3","linear","cilsmrsbl","equal"
"13","[0,0.0805]",0.181818181818182,0.0228311982999597,0.517755852360173,2,0.0402553858625606,"4","linear","cilsmrsbl","equal"
"14","(0.0805,0.106]",0.2,0.0252107263268334,0.556095462307641,2,0.0934641269867807,"4","linear","cilsmrsbl","equal"
"15","(0.106,0.14]",0.3,0.0667395111777345,0.652452850059997,3,0.123456611022488,"4","linear","cilsmrsbl","equal"
"16","(0.14,1]",0.4,0.121552258119827,0.737621923393055,4,0.570247869898268,"4","linear","cilsmrsbl","equal"
"17","[0,0.0493]",0,0,0.284914152918154,0,0.0246259790139118,"5","linear","cilsmrsbl","equal"
"18","(0.0493,0.0923]",0,0,0.308497107818761,0,0.0707579074840302,"5","linear","cilsmrsbl","equal"
"19","(0.0923,0.201]",0.1,0.00252857854446179,0.445016117028195,1,0.146436564703738,"5","linear","cilsmrsbl","equal"
"20","(0.201,1]",0.2,0.0252107263268334,0.556095462307641,2,0.60030463623362,"5","linear","cilsmrsbl","equal"
"21","[0,0.0633]",0,0,0.284914152918154,0,0.031630713159076,"6","linear","cilsmrsbl","equal"
"22","(0.0633,0.12]",0,0,0.308497107818761,0,0.0915558464950506,"6","linear","cilsmrsbl","equal"
"23","(0.12,0.222]",0.2,0.0252107263268334,0.556095462307641,2,0.171165888880999,"6","linear","cilsmrsbl","equal"
"24","(0.222,1]",0.4,0.121552258119827,0.737621923393055,4,0.611240755545024,"6","linear","cilsmrsbl","equal"
"25","[0,0.0309]",0,0,0.284914152918154,0,0.0154714766417735,"1","log-linear","cilsmrsbl","equal"
"26","(0.0309,0.0588]",0,0,0.308497107818761,0,0.044882454256105,"1","log-linear","cilsmrsbl","equal"
"27","(0.0588,0.145]",0.1,0.00252857854446179,0.445016117028195,1,0.101810136268861,"1","log-linear","cilsmrsbl","equal"
"28","(0.145,1]",0.3,0.0667395111777345,0.652452850059997,3,0.572399158654529,"1","log-linear","cilsmrsbl","equal"
"29","[0,0.0481]",0,0,0.284914152918154,0,0.0240714448855281,"2","log-linear","cilsmrsbl","equal"
"30","(0.0481,0.0868]",0,0,0.308497107818761,0,0.0674510252443756,"2","log-linear","cilsmrsbl","equal"
"31","(0.0868,0.178]",0.1,0.00252857854446179,0.445016117028195,1,0.132337311621551,"2","log-linear","cilsmrsbl","equal"
"32","(0.178,1]",0.4,0.121552258119827,0.737621923393055,4,0.588957731262703,"2","log-linear","cilsmrsbl","equal"
"33","[0,0.0362]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0181100292617712,"3","log-linear","cilsmrsbl","equal"
"34","(0.0362,0.0674]",0.2,0.0252107263268334,0.556095462307641,2,0.0518321329245687,"3","log-linear","cilsmrsbl","equal"
"35","(0.0674,0.191]",0.2,0.0252107263268334,0.556095462307641,2,0.129413169058816,"3","log-linear","cilsmrsbl","equal"
"36","(0.191,1]",0.4,0.121552258119827,0.737621923393055,4,0.595691065396018,"3","log-linear","cilsmrsbl","equal"
"37","[0,0.0806]",0.181818181818182,0.0228311982999597,0.517755852360173,2,0.0403033496864737,"4","log-linear","cilsmrsbl","equal"
"38","(0.0806,0.107]",0.2,0.0252107263268334,0.556095462307641,2,0.0935654824865619,"4","log-linear","cilsmrsbl","equal"
"39","(0.107,0.141]",0.3,0.0667395111777345,0.652452850059997,3,0.123557357916899,"4","log-linear","cilsmrsbl","equal"
