"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"1","[0,0.38]",0.484848484848485,0.299715690558046,0.678384570264939,5.33333333333333,0.0475273713043836,"1","linear","cilsmrsbl","equal"
"2","(0.38,0.436]",0.4,0.242045645680779,0.619077197120952,4,0.109208619869677,"1","linear","cilsmrsbl","equal"
"3","(0.436,0.565]",0.483333333333333,0.273226650422012,0.703146674409926,4.83333333333333,0.160578676333114,"1","linear","cilsmrsbl","equal"
"4","(0.565,1]",0.65,0.365503491301597,0.839999840828098,6.5,0.598897427767821,"1","linear","cilsmrsbl","equal"
"5","[0,0.388]",0.0606060606060606,0.0104194510644535,0.360363181372237,0.666666666666667,0.0525615686471795,"2","linear","cilsmrsbl","equal"
"6","(0.388,0.452]",0.0166666666666667,0.000421429757410298,0.331250276020333,0.166666666666667,0.123015054242218,"2","linear","cilsmrsbl","equal"
"7","(0.452,0.571]",0.266666666666667,0.0907912487608747,0.587706488081275,2.66666666666667,0.176739085637116,"2","linear","cilsmrsbl","equal"
"8","(0.571,1]",0.466666666666667,0.180477692149071,0.772231093743241,4.66666666666667,0.606285600042077,"2","linear","cilsmrsbl","equal"
"9","[0,0.392]",0.181818181818182,0.047274742420708,0.496925931868713,2,0.0494228135384199,"3","linear","cilsmrsbl","equal"
"10","(0.392,0.447]",0.166666666666667,0.0207911165774644,0.516615354293311,1.66666666666667,0.114436938850417,"3","linear","cilsmrsbl","equal"
"11","(0.447,0.632]",0.3,0.118222100508642,0.604372859706804,3,0.18488233515075,"3","linear","cilsmrsbl","equal"
"12","(0.632,1]",0.383333333333333,0.137659383452634,0.700482430581888,3.83333333333333,0.619868209838754,"3","linear","cilsmrsbl","equal"
"13","[0,0.463]",0.227272727272727,0.0771384259051158,0.531361975287647,2.5,0.0712301720528869,"4","linear","cilsmrsbl","equal"
"14","(0.463,0.483]",0.15,0.0203696868200541,0.493862186091739,1.5,0.151023645649987,"4","linear","cilsmrsbl","equal"
"15","(0.483,0.653]",0.316666666666667,0.0820897935960602,0.661272086613489,3.16666666666667,0.187697306774714,"4","linear","cilsmrsbl","equal"
"16","(0.653,1]",0.366666666666667,0.121969602581288,0.692013795115141,3.66666666666667,0.607903833177615,"4","linear","cilsmrsbl","equal"
"17","[0,0.386]",0.136363636363636,0.0490018886387086,0.430318512863555,1.5,0.0528262712224216,"5","linear","cilsmrsbl","equal"
"18","(0.386,0.487]",0.1,0.0222465037259115,0.423149021899173,1,0.128808952222261,"5","linear","cilsmrsbl","equal"
"19","(0.487,0.644]",0.166666666666667,0.0431471161190094,0.495398878551085,1.66666666666667,0.198295725356144,"5","linear","cilsmrsbl","equal"
"20","(0.644,1]",0.3,0.0983519646883319,0.624732936507757,3,0.622313044356305,"5","linear","cilsmrsbl","equal"
"21","[0,0.453]",0.0303030303030303,0.00380519971665994,0.323721102825157,0.333333333333333,0.0648205139086112,"6","linear","cilsmrsbl","equal"
"22","(0.453,0.551]",0.0666666666666667,0.011544681620366,0.388576233060539,0.666666666666667,0.155066734422935,"6","linear","cilsmrsbl","equal"
"23","(0.551,0.694]",0.233333333333333,0.0497638543303741,0.579577834242964,2.33333333333333,0.226164049472816,"6","linear","cilsmrsbl","equal"
"24","(0.694,1]",0.366666666666667,0.149517160356888,0.666137502308891,3.66666666666667,0.635917828958492,"6","linear","cilsmrsbl","equal"
"25","[0,0.381]",0.484848484848485,0.299715690558046,0.678384570264939,5.33333333333333,0.0477046992692324,"1","log-linear","cilsmrsbl","equal"
"26","(0.381,0.438]",0.4,0.242045645680779,0.619077197120952,4,0.109674182792349,"1","log-linear","cilsmrsbl","equal"
"27","(0.438,0.57]",0.483333333333333,0.273226650422012,0.703146674409926,4.83333333333333,0.162564273546472,"1","log-linear","cilsmrsbl","equal"
"28","(0.57,1]",0.65,0.365503491301597,0.839999840828098,6.5,0.600594790023355,"1","log-linear","cilsmrsbl","equal"
"29","[0,0.391]",0.0606060606060606,0.0104194510644535,0.360363181372237,0.666666666666667,0.0528056041412544,"2","log-linear","cilsmrsbl","equal"
"30","(0.391,0.453]",0.0166666666666667,0.000421429757410298,0.331250276020333,0.166666666666667,0.123494897636499,"2","log-linear","cilsmrsbl","equal"
"31","(0.453,0.576]",0.266666666666667,0.0907912487608747,0.587706488081275,2.66666666666667,0.17801251850688,"2","log-linear","cilsmrsbl","equal"
"32","(0.576,1]",0.466666666666667,0.180477692149071,0.772231093743241,4.66666666666667,0.607323225011636,"2","log-linear","cilsmrsbl","equal"
"33","[0,0.392]",0.181818181818182,0.047274742420708,0.496925931868713,2,0.0495145156158477,"3","log-linear","cilsmrsbl","equal"
"34","(0.392,0.449]",0.166666666666667,0.0207911165774644,0.516615354293311,1.66666666666667,0.114802849106495,"3","log-linear","cilsmrsbl","equal"
"35","(0.449,0.643]",0.3,0.118222100508642,0.604372859706804,3,0.186791417612226,"3","log-linear","cilsmrsbl","equal"
"36","(0.643,1]",0.383333333333333,0.137659383452634,0.700482430581888,3.83333333333333,0.621503084121579,"3","log-linear","cilsmrsbl","equal"
"37","[0,0.464]",0.227272727272727,0.0771384259051158,0.531361975287647,2.5,0.0712751273290624,"4","log-linear","cilsmrsbl","equal"
"38","(0.464,0.483]",0.15,0.0203696868200541,0.493862186091739,1.5,0.151105521199395,"4","log-linear","cilsmrsbl","equal"
"39","(0.483,0.653]",0.316666666666667,0.0820897935960602,0.661272086613489,3.16666666666667,0.187923104960641,"4","log-linear","cilsmrsbl","equal"
"40","(0.653,1]",0.366666666666667,0.121969602581288,0.692013795115141,3.66666666666667,0.608092711090308,"4","log-linear","cilsmrsbl","equal"
"41","[0,0.387]",0.136363636363636,0.0490018886387086,0.430318512863555,1.5,0.0529869594264991,"5","log-linear","cilsmrsbl","equal"
