"metric","ens","val","spl"
"acc",1,0.414634146341463,1
"acc",2,0.390243902439024,1
"acc",3,0.439024390243902,1
"acc",4,0.390243902439024,1
"acc",5,0.390243902439024,1
"binacc",1,0.829268292682927,1
"binacc",2,0.853658536585366,1
"binacc",3,0.853658536585366,1
"binacc",4,0.853658536585366,1
"binacc",5,0.829268292682927,1
"eacc",1,0.585365853658537,1
"eacc",2,0.609756097560976,1
"eacc",3,0.560975609756098,1
"eacc",4,0.609756097560976,1
"eacc",5,0.609756097560976,1
"ebinacc",1,0.170731707317073,1
"ebinacc",2,0.146341463414634,1
"ebinacc",3,0.146341463414634,1
"ebinacc",4,0.146341463414634,1
"ebinacc",5,0.170731707317073,1
"nll",1,1.39967821320437,1
"nll",2,1.53607934367365,1
"nll",3,1.39144691647836,1
"nll",4,1.51986582357687,1
"nll",5,1.45359882527893,1
"binnll",1,0.278114017785301,1
"binnll",2,0.265421906808002,1
"binnll",3,0.261127163754367,1
"binnll",4,0.302157614023048,1
"binnll",5,0.286930965825783,1
"rps",1,0.102769162965926,1
"rps",2,0.111565772175539,1
"rps",3,0.100158174954534,1
"rps",4,0.116030792333285,1
"rps",5,0.108765998928412,1
"cint",1,-8.08836126158732,1
"cint",2,-7.46180058015885,1
"cint",3,-7.85975574488383,1
"cint",4,-7.92826642090243,1
"cint",5,-7.94629100425339,1
"cslope",1,0.506677582014797,1
"cslope",2,0.429957842476141,1
"cslope",3,0.515499779797596,1
"cslope",4,0.352953734849324,1
"cslope",5,0.447671765998489,1
"brier",1,0.0892246389229289,1
"brier",2,0.0834573117942405,1
"brier",3,0.084252276385174,1
"brier",4,0.0983322730313112,1
"brier",5,0.0926424692728021,1
"auc",1,0.878378378378378,1
"auc",2,0.817567567567568,1
"auc",3,0.891891891891892,1
"auc",4,0.837837837837838,1
"auc",5,0.844594594594595,1
"eauc",1,0.121621621621622,1
"eauc",2,0.182432432432432,1
"eauc",3,0.108108108108108,1
"eauc",4,0.162162162162162,1
"eauc",5,0.155405405405405,1
"qwk",1,0.244196631770596,1
"qwk",2,0.0907398002370069,1
"qwk",3,0.231138246838203,1
"qwk",4,0.0518149882903982,1
"qwk",5,0.233024009427014,1
"eqwk",1,0.755803368229404,1
"eqwk",2,0.909260199762993,1
"eqwk",3,0.768861753161797,1
"eqwk",4,0.948185011709602,1
"eqwk",5,0.766975990572986,1
"acc",1,0.536585365853659,2
"acc",2,0.51219512195122,2
"acc",3,0.51219512195122,2
"acc",4,0.560975609756098,2
"acc",5,0.560975609756098,2
"binacc",1,0.902439024390244,2
"binacc",2,0.926829268292683,2
"binacc",3,0.926829268292683,2
"binacc",4,0.902439024390244,2
"binacc",5,0.902439024390244,2
"eacc",1,0.463414634146341,2
"eacc",2,0.48780487804878,2
"eacc",3,0.48780487804878,2
"eacc",4,0.439024390243902,2
"eacc",5,0.439024390243902,2
"ebinacc",1,0.0975609756097561,2
"ebinacc",2,0.073170731707317,2
"ebinacc",3,0.073170731707317,2
"ebinacc",4,0.0975609756097561,2
"ebinacc",5,0.0975609756097561,2
"nll",1,1.44705698344269,2
"nll",2,1.32070355333723,2
"nll",3,1.40238786733655,2
"nll",4,1.22719866792305,2
"nll",5,1.31713961645609,2
"binnll",1,0.197990334085799,2
"binnll",2,0.175505340125176,2
"binnll",3,0.187198905914626,2
"binnll",4,0.193195102836595,2
"binnll",5,0.194832553609019,2
"rps",1,0.10779436214441,2
"rps",2,0.110358993179338,2
"rps",3,0.107042232612723,2
"rps",4,0.107624092068838,2
"rps",5,0.107773180618178,2
"cint",1,0.727146569782453,2
"cint",2,0.863317196500408,2
"cint",3,0.612319788256295,2
"cint",4,0.581845005076977,2
"cint",5,0.52384064795014,2
"cslope",1,1.56658829688952,2
"cslope",2,5.44770824425255,2
"cslope",3,2.45386523924933,2
"cslope",4,6.71237888303851,2
"cslope",5,5.42444566044082,2
"brier",1,0.0603242699393513,2
"brier",2,0.0515521520180211,2
"brier",3,0.0539236999667134,2
"brier",4,0.0550651326612654,2
"brier",5,0.0545787327711741,2
"auc",1,0.966666666666667,2
"auc",2,0.994444444444444,2
"auc",3,0.983333333333333,2
"auc",4,0.994444444444444,2
"auc",5,0.994444444444444,2
"eauc",1,0.0333333333333333,2
"eauc",2,0.00555555555555554,2
"eauc",3,0.0166666666666667,2
"eauc",4,0.00555555555555554,2
"eauc",5,0.00555555555555554,2
"qwk",1,0.457520891364902,2
"qwk",2,0.421600370027752,2
"qwk",3,0.321209751010299,2
"qwk",4,0.486072423398329,2
"qwk",5,0.441624956349668,2
"eqwk",1,0.542479108635098,2
"eqwk",2,0.578399629972248,2
"eqwk",3,0.678790248989701,2
"eqwk",4,0.513927576601671,2
"eqwk",5,0.558375043650332,2
"acc",1,0.439024390243902,3
"acc",2,0.439024390243902,3
"acc",3,0.414634146341463,3
"acc",4,0.48780487804878,3
"acc",5,0.414634146341463,3
"binacc",1,0.878048780487805,3
"binacc",2,0.853658536585366,3
"binacc",3,0.804878048780488,3
"binacc",4,0.804878048780488,3
"binacc",5,0.878048780487805,3
"eacc",1,0.560975609756098,3
"eacc",2,0.560975609756098,3
"eacc",3,0.585365853658537,3
"eacc",4,0.51219512195122,3
"eacc",5,0.585365853658537,3
"ebinacc",1,0.121951219512195,3
"ebinacc",2,0.146341463414634,3
"ebinacc",3,0.195121951219512,3
"ebinacc",4,0.195121951219512,3
"ebinacc",5,0.121951219512195,3
"nll",1,1.69589954019225,3
"nll",2,1.72055653147801,3
"nll",3,1.61822483226703,3
"nll",4,1.68600913519051,3
"nll",5,1.56431145086713,3
"binnll",1,0.488887594301969,3
"binnll",2,0.51859125446841,3
"binnll",3,0.465682366903306,3
"binnll",4,0.561634583020172,3
"binnll",5,0.419261592305645,3
"rps",1,0.142007986466496,3
"rps",2,0.145697020241105,3
"rps",3,0.142210411479671,3
"rps",4,0.139793608532537,3
"rps",5,0.131427810905689,3
"cint",1,0.41042150060087,3
"cint",2,0.216586533431166,3
"cint",3,-0.0530212212570385,3
"cint",4,-0.0347264345436465,3
"cint",5,0.291150750292389,3
"cslope",1,0.532500177131257,3
"cslope",2,0.493736045904389,3
"cslope",3,0.559501702397801,3
"cslope",4,0.456518393796799,3
"cslope",5,0.702134433298214,3
"brier",1,0.128650441818669,3
"brier",2,0.136451773143189,3
"brier",3,0.143965021722092,3
"brier",4,0.141622223134532,3
"brier",5,0.124448474974697,3
"auc",1,0.711805555555556,3
"auc",2,0.6875,3
"auc",3,0.725694444444444,3
"auc",4,0.680555555555556,3
"auc",5,0.767361111111111,3
"eauc",1,0.288194444444444,3
"eauc",2,0.3125,3
"eauc",3,0.274305555555556,3
"eauc",4,0.319444444444444,3
