"metric","topn","val","method","spl"
"acc",1,0.439024390243902,"linear",1
"binacc",1,0.902439024390244,"linear",1
"eacc",1,0.560975609756098,"linear",1
"ebinacc",1,0.0975609756097561,"linear",1
"nll",1,1.46933454234685,"linear",1
"binnll",1,0.288790144750896,"linear",1
"rps",1,0.103091364016231,"linear",1
"cint",1,-7.40775888107095,"linear",1
"cslope",1,0.437985325226235,"linear",1
"brier",1,0.0863286900439072,"linear",1
"auc",1,0.763513513513514,"linear",1
"eauc",1,0.236486486486486,"linear",1
"qwk",1,0.046910994764398,"linear",1
"eqwk",1,0.953089005235602,"linear",1
"acc",2,0.414634146341463,"linear",1
"binacc",2,0.902439024390244,"linear",1
"eacc",2,0.585365853658537,"linear",1
"ebinacc",2,0.0975609756097561,"linear",1
"nll",2,1.40022537300463,"linear",1
"binnll",2,0.28277543957153,"linear",1
"rps",2,0.0979461368564181,"linear",1
"cint",2,-7.68181168977301,"linear",1
"cslope",2,0.622335746301007,"linear",1
"brier",2,0.0831896160147551,"linear",1
"auc",2,0.817567567567568,"linear",1
"eauc",2,0.182432432432432,"linear",1
"qwk",2,0.063621533442088,"linear",1
"eqwk",2,0.936378466557912,"linear",1
"acc",3,0.414634146341463,"linear",1
"binacc",3,0.902439024390244,"linear",1
"eacc",3,0.585365853658537,"linear",1
"ebinacc",3,0.0975609756097561,"linear",1
"nll",3,1.40310672587779,"linear",1
"binnll",3,0.284445587317859,"linear",1
"rps",3,0.0980656712572678,"linear",1
"cint",3,-7.68450266164173,"linear",1
"cslope",3,0.637068192336248,"linear",1
"brier",3,0.0827397399697596,"linear",1
"auc",3,0.797297297297297,"linear",1
"eauc",3,0.202702702702703,"linear",1
"qwk",3,0.0824008138351983,"linear",1
"eqwk",3,0.917599186164802,"linear",1
"acc",4,0.414634146341463,"linear",1
"binacc",4,0.902439024390244,"linear",1
"eacc",4,0.585365853658537,"linear",1
"ebinacc",4,0.0975609756097561,"linear",1
"nll",4,1.39127833815986,"linear",1
"binnll",4,0.271667203571949,"linear",1
"rps",4,0.0971659566269007,"linear",1
"cint",4,-7.71079217845835,"linear",1
"cslope",4,0.721022945478123,"linear",1
"brier",4,0.0802079515099514,"linear",1
"auc",4,0.844594594594595,"linear",1
"eauc",4,0.155405405405405,"linear",1
"qwk",4,0.0824008138351983,"linear",1
"eqwk",4,0.917599186164802,"linear",1
"acc",5,0.414634146341463,"linear",1
"binacc",5,0.902439024390244,"linear",1
"eacc",5,0.585365853658537,"linear",1
"ebinacc",5,0.0975609756097561,"linear",1
"nll",5,1.38408749726314,"linear",1
"binnll",5,0.271819376908133,"linear",1
"rps",5,0.0963527977772798,"linear",1
"cint",5,-7.69444340841148,"linear",1
"cslope",5,0.771430473452052,"linear",1
"brier",5,0.079587629387153,"linear",1
"auc",5,0.837837837837838,"linear",1
"eauc",5,0.162162162162162,"linear",1
"qwk",5,0.0824008138351983,"linear",1
"eqwk",5,0.917599186164802,"linear",1
"acc",1,0.439024390243902,"log-linear",1
"binacc",1,0.902439024390244,"log-linear",1
"eacc",1,0.560975609756098,"log-linear",1
"ebinacc",1,0.0975609756097561,"log-linear",1
"nll",1,1.46933454234685,"log-linear",1
"binnll",1,0.288790144750896,"log-linear",1
"rps",1,0.103091364016231,"log-linear",1
"cint",1,-7.40775888107095,"log-linear",1
"cslope",1,0.437985325226235,"log-linear",1
"brier",1,0.0863286900439072,"log-linear",1
"auc",1,0.763513513513514,"log-linear",1
"eauc",1,0.236486486486486,"log-linear",1
"qwk",1,0.046910994764398,"log-linear",1
"eqwk",1,0.953089005235602,"log-linear",1
"acc",2,0.414634146341463,"log-linear",1
"binacc",2,0.902439024390244,"log-linear",1
"eacc",2,0.585365853658537,"log-linear",1
"ebinacc",2,0.0975609756097561,"log-linear",1
"nll",2,1.39485792323997,"log-linear",1
"binnll",2,0.283081796415935,"log-linear",1
"rps",2,0.0976414536319568,"log-linear",1
"cint",2,-7.69037491417839,"log-linear",1
"cslope",2,0.623054419351853,"log-linear",1
"brier",2,0.0832773624407323,"log-linear",1
"auc",2,0.817567567567568,"log-linear",1
"eauc",2,0.182432432432432,"log-linear",1
"qwk",2,0.063621533442088,"log-linear",1
"eqwk",2,0.936378466557912,"log-linear",1
"acc",3,0.414634146341463,"log-linear",1
"binacc",3,0.902439024390244,"log-linear",1
"eacc",3,0.585365853658537,"log-linear",1
