"metric","topn","val","method","spl"
"acc",1,0.414634146341463,"linear",1
"binacc",1,0.878048780487805,"linear",1
"eacc",1,0.585365853658537,"linear",1
"ebinacc",1,0.121951219512195,"linear",1
"nll",1,1.31116485431136,"linear",1
"binnll",1,0.211586290822366,"linear",1
"rps",1,0.0932003552088806,"linear",1
"cint",1,-7.27839476921964,"linear",1
"cslope",1,0.762517555928646,"linear",1
"brier",1,0.0684377245039476,"linear",1
"auc",1,0.925675675675676,"linear",1
"eauc",1,0.0743243243243243,"linear",1
"qwk",1,0.100831862868667,"linear",1
"eqwk",1,0.899168137131333,"linear",1
"acc",2,0.414634146341463,"linear",1
"binacc",2,0.902439024390244,"linear",1
"eacc",2,0.585365853658537,"linear",1
"ebinacc",2,0.0975609756097561,"linear",1
"nll",2,1.32154715280529,"linear",1
"binnll",2,0.234960080729044,"linear",1
"rps",2,0.0961767950231663,"linear",1
"cint",2,-7.45917243968796,"linear",1
"cslope",2,0.673690671537794,"linear",1
"brier",2,0.0751978614793468,"linear",1
"auc",2,0.891891891891892,"linear",1
"eauc",2,0.108108108108108,"linear",1
"qwk",2,0.100831862868667,"linear",1
"eqwk",2,0.899168137131333,"linear",1
"acc",3,0.414634146341463,"linear",1
"binacc",3,0.902439024390244,"linear",1
"eacc",3,0.585365853658537,"linear",1
"ebinacc",3,0.0975609756097561,"linear",1
"nll",3,1.32705158282383,"linear",1
"binnll",3,0.252802718386355,"linear",1
"rps",3,0.0964221787819298,"linear",1
"cint",3,-7.48716927652009,"linear",1
"cslope",3,0.643585346167085,"linear",1
"brier",3,0.0799213392378875,"linear",1
"auc",3,0.885135135135135,"linear",1
"eauc",3,0.114864864864865,"linear",1
"qwk",3,0.164118246687054,"linear",1
"eqwk",3,0.835881753312946,"linear",1
"acc",4,0.414634146341463,"linear",1
"binacc",4,0.902439024390244,"linear",1
"eacc",4,0.585365853658537,"linear",1
"ebinacc",4,0.0975609756097561,"linear",1
"nll",4,1.32775124981972,"linear",1
"binnll",4,0.258573499032542,"linear",1
"rps",4,0.095866434593435,"linear",1
"cint",4,-7.48432544954417,"linear",1
"cslope",4,0.70181625189897,"linear",1
"brier",4,0.0808488112477493,"linear",1
"auc",4,0.864864864864865,"linear",1
"eauc",4,0.135135135135135,"linear",1
"qwk",4,0.0605906313645621,"linear",1
"eqwk",4,0.939409368635438,"linear",1
"acc",5,0.414634146341463,"linear",1
"binacc",5,0.902439024390244,"linear",1
"eacc",5,0.585365853658537,"linear",1
"ebinacc",5,0.0975609756097561,"linear",1
"nll",5,1.33301030871555,"linear",1
"binnll",5,0.258273953233585,"linear",1
"rps",5,0.0963338073661263,"linear",1
"cint",5,-7.40877653272948,"linear",1
"cslope",5,0.718353460025122,"linear",1
"brier",5,0.0806630044444783,"linear",1
"auc",5,0.851351351351351,"linear",1
"eauc",5,0.148648648648649,"linear",1
"qwk",5,0.0605906313645621,"linear",1
"eqwk",5,0.939409368635438,"linear",1
"acc",1,0.414634146341463,"log-linear",1
"binacc",1,0.878048780487805,"log-linear",1
"eacc",1,0.585365853658537,"log-linear",1
"ebinacc",1,0.121951219512195,"log-linear",1
"nll",1,1.31116485431136,"log-linear",1
"binnll",1,0.211586290822366,"log-linear",1
"rps",1,0.0932003552088806,"log-linear",1
"cint",1,-7.27839476921964,"log-linear",1
"cslope",1,0.762517555928646,"log-linear",1
"brier",1,0.0684377245039476,"log-linear",1
"auc",1,0.925675675675676,"log-linear",1
"eauc",1,0.0743243243243243,"log-linear",1
"qwk",1,0.100831862868667,"log-linear",1
"eqwk",1,0.899168137131333,"log-linear",1
"acc",2,0.414634146341463,"log-linear",1
"binacc",2,0.902439024390244,"log-linear",1
"eacc",2,0.585365853658537,"log-linear",1
"ebinacc",2,0.0975609756097561,"log-linear",1
"nll",2,1.32132077662316,"log-linear",1
"binnll",2,0.234468158649455,"log-linear",1
"rps",2,0.0960879989666575,"log-linear",1
"cint",2,-7.46650035639925,"log-linear",1
"cslope",2,0.672931942224352,"log-linear",1
"brier",2,0.075115800128702,"log-linear",1
"auc",2,0.898648648648649,"log-linear",1
"eauc",2,0.101351351351351,"log-linear",1
"qwk",2,0.100831862868667,"log-linear",1
"eqwk",2,0.899168137131333,"log-linear",1
"acc",3,0.439024390243902,"log-linear",1
"binacc",3,0.902439024390244,"log-linear",1
"eacc",3,0.560975609756098,"log-linear",1
"ebinacc",3,0.0975609756097561,"log-linear",1
"nll",3,1.32350693798432,"log-linear",1
"binnll",3,0.251396942580991,"log-linear",1
"rps",3,0.0960860961064073,"log-linear",1
"cint",3,-7.49915992897563,"log-linear",1
"cslope",3,0.650406730948691,"log-linear",1
"brier",3,0.0795377629907473,"log-linear",1
"auc",3,0.885135135135135,"log-linear",1
"eauc",3,0.114864864864865,"log-linear",1
"qwk",3,0.16542128317444,"log-linear",1
"eqwk",3,0.83457871682556,"log-linear",1
"acc",4,0.414634146341463,"log-linear",1
"binacc",4,0.902439024390244,"log-linear",1
"eacc",4,0.585365853658537,"log-linear",1
"ebinacc",4,0.0975609756097561,"log-linear",1
"nll",4,1.32487807272684,"log-linear",1
"binnll",4,0.257674157879707,"log-linear",1
"rps",4,0.0955582279166683,"log-linear",1
"cint",4,-7.49817274421162,"log-linear",1
"cslope",4,0.703012564444316,"log-linear",1
"brier",4,0.0806615404982493,"log-linear",1
"auc",4,0.871621621621622,"log-linear",1
"eauc",4,0.128378378378378,"log-linear",1
"qwk",4,0.0605906313645621,"log-linear",1
"eqwk",4,0.939409368635438,"log-linear",1
"acc",5,0.414634146341463,"log-linear",1
"binacc",5,0.902439024390244,"log-linear",1
"eacc",5,0.585365853658537,"log-linear",1
"ebinacc",5,0.0975609756097561,"log-linear",1
"nll",5,1.3302994903834,"log-linear",1
"binnll",5,0.25755859505193,"log-linear",1
"rps",5,0.0960287839864537,"log-linear",1
"cint",5,-7.42422415684145,"log-linear",1
"cslope",5,0.715557746437787,"log-linear",1
"brier",5,0.0805850456604673,"log-linear",1
"auc",5,0.851351351351351,"log-linear",1
"eauc",5,0.148648648648649,"log-linear",1
"qwk",5,0.0605906313645621,"log-linear",1
"eqwk",5,0.939409368635438,"log-linear",1
"acc",1,0.414634146341463,"trafo",1
"binacc",1,0.878048780487805,"trafo",1
"eacc",1,0.585365853658537,"trafo",1
"ebinacc",1,0.121951219512195,"trafo",1
"nll",1,1.31116485431136,"trafo",1
"binnll",1,0.211586290822366,"trafo",1
"rps",1,0.0932003552088806,"trafo",1
"cint",1,-7.27839476921963,"trafo",1
"cslope",1,0.762517555928646,"trafo",1
"brier",1,0.0684377245039476,"trafo",1
"auc",1,0.925675675675676,"trafo",1
"eauc",1,0.0743243243243243,"trafo",1
"qwk",1,0.100831862868667,"trafo",1
"eqwk",1,0.899168137131333,"trafo",1
"acc",2,0.414634146341463,"trafo",1
"binacc",2,0.902439024390244,"trafo",1
"eacc",2,0.585365853658537,"trafo",1
"ebinacc",2,0.0975609756097561,"trafo",1
"nll",2,1.32508610698989,"trafo",1
"binnll",2,0.237658776425507,"trafo",1
"rps",2,0.0964587973033658,"trafo",1
"cint",2,-7.39917110617841,"trafo",1
"cslope",2,0.640930427651579,"trafo",1
"brier",2,0.0763420189139693,"trafo",1
"auc",2,0.885135135135135,"trafo",1
"eauc",2,0.114864864864865,"trafo",1
"qwk",2,0.100831862868667,"trafo",1
"eqwk",2,0.899168137131333,"trafo",1
"acc",3,0.414634146341463,"trafo",1
"binacc",3,0.902439024390244,"trafo",1
"eacc",3,0.585365853658537,"trafo",1
"ebinacc",3,0.0975609756097561,"trafo",1
"nll",3,1.33817555929516,"trafo",1
"binnll",3,0.261389302896283,"trafo",1
"rps",3,0.0971544316489153,"trafo",1
"cint",3,-7.4012072060968,"trafo",1
"cslope",3,0.573112624971194,"trafo",1
"brier",3,0.0826840834932422,"trafo",1
"auc",3,0.891891891891892,"trafo",1
"eauc",3,0.108108108108108,"trafo",1
"qwk",3,0.164118246687054,"trafo",1
"eqwk",3,0.835881753312946,"trafo",1
"acc",4,0.414634146341463,"trafo",1
"binacc",4,0.902439024390244,"trafo",1
