"metric","val","method","spl"
"acc",0.414634146341463,"linear",1
"binacc",0.902439024390244,"linear",1
"eacc",0.585365853658537,"linear",1
"ebinacc",0.0975609756097561,"linear",1
"nll",1.4388849223991,"linear",1
"binnll",0.356440123759026,"linear",1
"rps",0.104087901105862,"linear",1
"cint",-8.27880802525178,"linear",1
"cslope",NA,"linear",1
"brier",0.0979156588482096,"linear",1
"auc",0.5,"linear",1
"eauc",0.5,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.536585365853659,"linear",2
"binacc",0.878048780487805,"linear",2
"eacc",0.463414634146341,"linear",2
"ebinacc",0.121951219512195,"linear",2
"nll",1.37259729156167,"linear",2
"binnll",0.387893058469207,"linear",2
"rps",0.143837167465303,"linear",2
"cint",-0.0559163865854103,"linear",2
"cslope",NA,"linear",2
"brier",0.111815038285295,"linear",2
"auc",0.5,"linear",2
"eauc",0.5,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.414634146341463,"linear",3
"binacc",0.780487804878049,"linear",3
"eacc",0.585365853658537,"linear",3
"ebinacc",0.219512195121951,"linear",3
"nll",1.66591780331689,"linear",3
"binnll",0.52947796089763,"linear",3
"rps",0.160367999222845,"linear",3
"cint",0.291170351276676,"linear",3
"cslope",NA,"linear",3
"brier",0.1723390965472,"linear",3
"auc",0.5,"linear",3
"eauc",0.5,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.463414634146341,"linear",4
"binacc",0.731707317073171,"linear",4
"eacc",0.536585365853659,"linear",4
"ebinacc",0.268292682926829,"linear",4
"nll",1.63957250231928,"linear",4
"binnll",0.608138027124669,"linear",4
"rps",0.176981882891521,"linear",4
"cint",0.420570885133806,"linear",4
"cslope",NA,"linear",4
"brier",0.204943628215763,"linear",4
"auc",0.5,"linear",4
"eauc",0.5,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.48780487804878,"linear",5
"binacc",0.926829268292683,"linear",5
"eacc",0.51219512195122,"linear",5
"ebinacc",0.073170731707317,"linear",5
"nll",1.40314156806852,"linear",5
"binnll",0.332034588860053,"linear",5
"rps",0.114787011133658,"linear",5
"cint",-0.761504230239465,"linear",5
"cslope",NA,"linear",5
"brier",0.0863291096145917,"linear",5
"auc",0.5,"linear",5
"eauc",0.5,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.585365853658537,"linear",6
"binacc",0.853658536585366,"linear",6
"eacc",0.414634146341463,"linear",6
"ebinacc",0.146341463414634,"linear",6
"nll",1.4090294095755,"linear",6
"binnll",0.423137440014897,"linear",6
"rps",0.128988002126889,"linear",6
"cint",-0.49291676988267,"linear",6
"cslope",NA,"linear",6
"brier",0.126899466024339,"linear",6
"auc",0.5,"linear",6
"eauc",0.5,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
