"metric","val","method","spl"
"acc",0.365853658536585,"linear",1
"binacc",0.853658536585366,"linear",1
"eacc",0.634146341463415,"linear",1
"ebinacc",0.146341463414634,"linear",1
"nll",1.3244447893422,"linear",1
"binnll",0.279220250271856,"linear",1
"rps",0.095334779109801,"linear",1
"cint",-8.31445395551845,"linear",1
"cslope",0.608188314559714,"linear",1
"brier",0.0847128529168481,"linear",1
"auc",0.898648648648649,"linear",1
"eauc",0.101351351351351,"linear",1
"qwk",0.361519429486246,"linear",1
"eqwk",0.638480570513754,"linear",1
"acc",0.51219512195122,"linear",2
"binacc",0.902439024390244,"linear",2
"eacc",0.48780487804878,"linear",2
"ebinacc",0.0975609756097561,"linear",2
"nll",1.18904476972569,"linear",2
"binnll",0.183841349138373,"linear",2
"rps",0.107015208432166,"linear",2
"cint",0.54564494232053,"linear",2
"cslope",109.027133300092,"linear",2
"brier",0.0501998978337318,"linear",2
"auc",1,"linear",2
"eauc",0,"linear",2
"qwk",0.476555246053853,"linear",2
"eqwk",0.523444753946147,"linear",2
"acc",0.414634146341463,"linear",3
"binacc",0.829268292682927,"linear",3
"eacc",0.585365853658537,"linear",3
"ebinacc",0.170731707317073,"linear",3
"nll",1.62096763413981,"linear",3
"binnll",0.465426519706784,"linear",3
"rps",0.14208162914773,"linear",3
"cint",0.140440111143242,"linear",3
"cslope",0.559221291137396,"linear",3
"brier",0.141993284015047,"linear",3
"auc",0.729166666666667,"linear",3
"eauc",0.270833333333333,"linear",3
"qwk",0.430215704663654,"linear",3
"eqwk",0.569784295336346,"linear",3
"acc",0.390243902439024,"linear",4
"binacc",0.707317073170732,"linear",4
"eacc",0.609756097560976,"linear",4
"ebinacc",0.292682926829268,"linear",4
"nll",1.68926353093211,"linear",4
"binnll",0.581310567601256,"linear",4
"rps",0.171210843887737,"linear",4
"cint",0.485931447364991,"linear",4
"cslope",0.433914922418365,"linear",4
"brier",0.194503608063922,"linear",4
"auc",0.76969696969697,"linear",4
"eauc",0.23030303030303,"linear",4
"qwk",0.189355821699383,"linear",4
"eqwk",0.810644178300617,"linear",4
"acc",0.48780487804878,"linear",5
"binacc",0.926829268292683,"linear",5
"eacc",0.51219512195122,"linear",5
"ebinacc",0.073170731707317,"linear",5
"nll",1.26665055607522,"linear",5
"binnll",0.268512029391033,"linear",5
"rps",0.09576547773942,"linear",5
"cint",-0.807001807653537,"linear",5
"cslope",54.3978143501886,"linear",5
"brier",0.075427881965459,"linear",5
"auc",0.885964912280702,"linear",5
"eauc",0.114035087719298,"linear",5
"qwk",0.47100697019131,"linear",5
"eqwk",0.52899302980869,"linear",5
"acc",0.560975609756098,"linear",6
"binacc",0.878048780487805,"linear",6
"eacc",0.439024390243902,"linear",6
"ebinacc",0.121951219512195,"linear",6
"nll",1.28201943748074,"linear",6
"binnll",0.31075986959318,"linear",6
"rps",0.104193135177294,"linear",6
"cint",-0.875197800852433,"linear",6
"cslope",0.700127576400139,"linear",6
"brier",0.0921245450865065,"linear",6
"auc",0.828571428571429,"linear",6
"eauc",0.171428571428571,"linear",6
"qwk",0.526905061121901,"linear",6
"eqwk",0.473094938878099,"linear",6
