"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0.362894728832898,0.637105271167102,0,0,1,"linear"
0.582961574567927,0.417038425432073,0,0,0,2,"linear"
0,0.284531557783424,0,0.183321320622223,0.532147121594353,3,"linear"
0.122865116104017,0.877134883895982,0,0,0,4,"linear"
0,0,0,0.518207071028933,0.481792928971067,5,"linear"
0.172569587976301,0,0,0.827430412023699,0,6,"linear"
0,0.362163792206732,0.637836207793268,0,0,1,"log-linear"
0.572553107304396,0.427446892695604,0,0,0,2,"log-linear"
0,0.301534572800389,0,0.0982856958003668,0.600179731399244,3,"log-linear"
0.0817080791589706,0.918291920841029,0,0,0,4,"log-linear"
0,0,0,0.497603689258,0.502396310742,5,"log-linear"
0,0,0,0.782050174827258,0.217949825172742,6,"log-linear"
0,0.273195784595574,0.726804215404426,0,0,1,"trafo"
0.635434737694052,0.364565262305948,0,0,0,2,"trafo"
0,0.34809100333987,0,0.0854364379410082,0.566472558719121,3,"trafo"
0,1,0,0,0,4,"trafo"
0.0752507327887203,0,0,0.477339151571294,0.447410115639986,5,"trafo"
0.150536954158672,0,0,0.837930803495633,0.011532242345695,6,"trafo"
