"metric","topn","val","method","spl"
"acc",1,0.439024390243902,"linear",1
"binacc",1,0.853658536585366,"linear",1
"eacc",1,0.560975609756098,"linear",1
"ebinacc",1,0.146341463414634,"linear",1
"nll",1,1.37153553477431,"linear",1
"binnll",1,0.295499428797252,"linear",1
"rps",1,0.0929573484635312,"linear",1
"cint",1,-7.44898645800154,"linear",1
"cslope",1,0.393729414052529,"linear",1
"brier",1,0.0880691638841911,"linear",1
"auc",1,0.797297297297297,"linear",1
"eauc",1,0.202702702702703,"linear",1
"qwk",1,0.286502546689304,"linear",1
"eqwk",1,0.713497453310696,"linear",1
"acc",2,0.439024390243902,"linear",1
"binacc",2,0.829268292682927,"linear",1
"eacc",2,0.560975609756098,"linear",1
"ebinacc",2,0.170731707317073,"linear",1
"nll",2,1.33883852482853,"linear",1
"binnll",2,0.28579980012826,"linear",1
"rps",2,0.0946097570637038,"linear",1
"cint",2,-7.63776070650776,"linear",1
"cslope",2,0.423741800249506,"linear",1
"brier",2,0.093930672476895,"linear",1
"auc",2,0.858108108108108,"linear",1
"eauc",2,0.141891891891892,"linear",1
"qwk",2,0.345902828136331,"linear",1
"eqwk",2,0.654097171863669,"linear",1
"acc",3,0.414634146341463,"linear",1
"binacc",3,0.853658536585366,"linear",1
"eacc",3,0.585365853658537,"linear",1
"ebinacc",3,0.146341463414634,"linear",1
"nll",3,1.34036452603806,"linear",1
"binnll",3,0.279692434357853,"linear",1
"rps",3,0.0945910483658376,"linear",1
"cint",3,-7.81558300115199,"linear",1
"cslope",3,0.447494153436915,"linear",1
"brier",3,0.090046605861032,"linear",1
"auc",3,0.837837837837838,"linear",1
"eauc",3,0.162162162162162,"linear",1
"qwk",3,0.309138042773817,"linear",1
"eqwk",3,0.690861957226183,"linear",1
"acc",4,0.390243902439024,"linear",1
"binacc",4,0.853658536585366,"linear",1
"eacc",4,0.609756097560976,"linear",1
"ebinacc",4,0.146341463414634,"linear",1
"nll",4,1.32328500739475,"linear",1
"binnll",4,0.26126985755147,"linear",1
"rps",4,0.0940067699269154,"linear",1
"cint",4,-7.83167874596335,"linear",1
"cslope",4,0.474924316434592,"linear",1
"brier",4,0.0847929751225523,"linear",1
"auc",4,0.878378378378378,"linear",1
"eauc",4,0.121621621621622,"linear",1
"qwk",4,0.427906976744186,"linear",1
"eqwk",4,0.572093023255814,"linear",1
"acc",5,0.414634146341463,"linear",1
"binacc",5,0.853658536585366,"linear",1
"eacc",5,0.585365853658537,"linear",1
"ebinacc",5,0.146341463414634,"linear",1
"nll",5,1.31765311312357,"linear",1
"binnll",5,0.248215544059298,"linear",1
"rps",5,0.0928539645899235,"linear",1
"cint",5,-7.81059412521175,"linear",1
"cslope",5,0.495111867791255,"linear",1
"brier",5,0.0800815976242818,"linear",1
"auc",5,0.891891891891892,"linear",1
"eauc",5,0.108108108108108,"linear",1
"qwk",5,0.339270568278202,"linear",1
"eqwk",5,0.660729431721798,"linear",1
"acc",1,0.439024390243902,"log-linear",1
"binacc",1,0.853658536585366,"log-linear",1
"eacc",1,0.560975609756098,"log-linear",1
"ebinacc",1,0.146341463414634,"log-linear",1
"nll",1,1.37153553477431,"log-linear",1
"binnll",1,0.295499428797252,"log-linear",1
"rps",1,0.0929573484635312,"log-linear",1
"cint",1,-7.44898645800157,"log-linear",1
"cslope",1,0.393729414052529,"log-linear",1
"brier",1,0.0880691638841911,"log-linear",1
"auc",1,0.797297297297297,"log-linear",1
"eauc",1,0.202702702702703,"log-linear",1
"qwk",1,0.286502546689304,"log-linear",1
"eqwk",1,0.713497453310696,"log-linear",1
"acc",2,0.439024390243902,"log-linear",1
"binacc",2,0.829268292682927,"log-linear",1
"eacc",2,0.560975609756098,"log-linear",1
"ebinacc",2,0.170731707317073,"log-linear",1
"nll",2,1.34110457955784,"log-linear",1
"binnll",2,0.288147817267215,"log-linear",1
"rps",2,0.0950335550454773,"log-linear",1
"cint",2,-7.6590746019795,"log-linear",1
"cslope",2,0.418534836993985,"log-linear",1
"brier",2,0.0949821418093129,"log-linear",1
"auc",2,0.858108108108108,"log-linear",1
"eauc",2,0.141891891891892,"log-linear",1
"qwk",2,0.345902828136331,"log-linear",1
"eqwk",2,0.654097171863669,"log-linear",1
"acc",3,0.439024390243902,"log-linear",1
"binacc",3,0.853658536585366,"log-linear",1
"eacc",3,0.560975609756098,"log-linear",1
"ebinacc",3,0.146341463414634,"log-linear",1
"nll",3,1.34167651079246,"log-linear",1
"binnll",3,0.282139136658872,"log-linear",1
"rps",3,0.0950680709622416,"log-linear",1
"cint",3,-7.85309811678549,"log-linear",1
"cslope",3,0.442405127809011,"log-linear",1
"brier",3,0.090981065219795,"log-linear",1
"auc",3,0.831081081081081,"log-linear",1
"eauc",3,0.168918918918919,"log-linear",1
"qwk",3,0.320514883346742,"log-linear",1
"eqwk",3,0.679485116653258,"log-linear",1
"acc",4,0.414634146341463,"log-linear",1
"binacc",4,0.853658536585366,"log-linear",1
"eacc",4,0.585365853658537,"log-linear",1
"ebinacc",4,0.146341463414634,"log-linear",1
"nll",4,1.32500447949296,"log-linear",1
"binnll",4,0.263557732483293,"log-linear",1
"rps",4,0.0945213513569669,"log-linear",1
"cint",4,-7.87007438321003,"log-linear",1
"cslope",4,0.469368834474332,"log-linear",1
"brier",4,0.0857602211393858,"log-linear",1
"auc",4,0.878378378378378,"log-linear",1
"eauc",4,0.121621621621622,"log-linear",1
"qwk",4,0.415758591785415,"log-linear",1
"eqwk",4,0.584241408214585,"log-linear",1
"acc",5,0.414634146341463,"log-linear",1
"binacc",5,0.853658536585366,"log-linear",1
"eacc",5,0.585365853658537,"log-linear",1
"ebinacc",5,0.146341463414634,"log-linear",1
"nll",5,1.32112549754813,"log-linear",1
"binnll",5,0.250604852117007,"log-linear",1
"rps",5,0.0934689064605701,"log-linear",1
"cint",5,-7.84874381673246,"log-linear",1
"cslope",5,0.487532167243433,"log-linear",1
"brier",5,0.0811615484592365,"log-linear",1
"auc",5,0.891891891891892,"log-linear",1
"eauc",5,0.108108108108108,"log-linear",1
"qwk",5,0.339270568278202,"log-linear",1
"eqwk",5,0.660729431721798,"log-linear",1
"acc",1,0.439024390243902,"trafo",1
"binacc",1,0.853658536585366,"trafo",1
"eacc",1,0.560975609756098,"trafo",1
"ebinacc",1,0.146341463414634,"trafo",1
"nll",1,1.37153553477431,"trafo",1
"binnll",1,0.295499428797252,"trafo",1
"rps",1,0.0929573484635312,"trafo",1
"cint",1,-7.44898645800163,"trafo",1
"cslope",1,0.393729414052528,"trafo",1
"brier",1,0.0880691638841911,"trafo",1
"auc",1,0.797297297297297,"trafo",1
"eauc",1,0.202702702702703,"trafo",1
"qwk",1,0.286502546689304,"trafo",1
"eqwk",1,0.713497453310696,"trafo",1
"acc",2,0.439024390243902,"trafo",1
"binacc",2,0.829268292682927,"trafo",1
"eacc",2,0.560975609756098,"trafo",1
"ebinacc",2,0.170731707317073,"trafo",1
"nll",2,1.3508187760397,"trafo",1
"binnll",2,0.292557681072876,"trafo",1
"rps",2,0.0947246354967359,"trafo",1
"cint",2,-7.59909812360607,"trafo",1
"cslope",2,0.403228561389119,"trafo",1
"brier",2,0.0948146577834746,"trafo",1
"auc",2,0.824324324324324,"trafo",1
"eauc",2,0.175675675675676,"trafo",1
"qwk",2,0.345902828136331,"trafo",1
"eqwk",2,0.654097171863669,"trafo",1
"acc",3,0.414634146341463,"trafo",1
"binacc",3,0.853658536585366,"trafo",1
"eacc",3,0.585365853658537,"trafo",1
"ebinacc",3,0.146341463414634,"trafo",1
"nll",3,1.3417684431518,"trafo",1
"binnll",3,0.281596299964095,"trafo",1
"rps",3,0.0944099375299023,"trafo",1
"cint",3,-7.74744466520469,"trafo",1
"cslope",3,0.42826796926263,"trafo",1
"brier",3,0.0901681100190224,"trafo",1
"auc",3,0.837837837837838,"trafo",1
"eauc",3,0.162162162162162,"trafo",1
"qwk",3,0.388456549935149,"trafo",1
"eqwk",3,0.611543450064851,"trafo",1
"acc",4,0.414634146341463,"trafo",1
"binacc",4,0.853658536585366,"trafo",1
"eacc",4,0.585365853658537,"trafo",1
"ebinacc",4,0.146341463414634,"trafo",1
"nll",4,1.3251239104561,"trafo",1
"binnll",4,0.26378737136053,"trafo",1
"rps",4,0.0939857353755067,"trafo",1
"cint",4,-7.76757742621144,"trafo",1
"cslope",4,0.452221886008767,"trafo",1
"brier",4,0.085386019364629,"trafo",1
"auc",4,0.885135135135135,"trafo",1
"eauc",4,0.114864864864865,"trafo",1
"qwk",4,0.415758591785415,"trafo",1
"eqwk",4,0.584241408214585,"trafo",1
"acc",5,0.414634146341463,"trafo",1
"binacc",5,0.853658536585366,"trafo",1
"eacc",5,0.585365853658537,"trafo",1
"ebinacc",5,0.146341463414634,"trafo",1
"nll",5,1.31784859198753,"trafo",1
"binnll",5,0.249663112434981,"trafo",1
"rps",5,0.0927917978463984,"trafo",1
"cint",5,-7.73558045383332,"trafo",1
"cslope",5,0.474010872190851,"trafo",1
"brier",5,0.0804838088388592,"trafo",1
"auc",5,0.898648648648649,"trafo",1
"eauc",5,0.101351351351351,"trafo",1
"qwk",5,0.338372685578393,"trafo",1
"eqwk",5,0.661627314421607,"trafo",1
"acc",1,0.439024390243902,"avg",1
"binacc",1,0.853658536585366,"avg",1
"eacc",1,0.560975609756098,"avg",1
"ebinacc",1,0.146341463414634,"avg",1
"nll",1,1.37153553477431,"avg",1
"binnll",1,0.295499428797252,"avg",1
"rps",1,0.0929573484635312,"avg",1
"cint",1,-7.44898645800154,"avg",1
"cslope",1,0.393729414052529,"avg",1
"brier",1,0.0880691638841911,"avg",1
