"metric","topn","val","method","spl"
"acc",1,0.414634146341463,"linear",1
"binacc",1,0.902439024390244,"linear",1
"eacc",1,0.585365853658537,"linear",1
"ebinacc",1,0.0975609756097561,"linear",1
"nll",1,1.51329782194873,"linear",1
"binnll",1,0.298072371431444,"linear",1
"rps",1,0.109077718130061,"linear",1
"cint",1,-7.89261343891757,"linear",1
"cslope",1,0.47492816783473,"linear",1
"brier",1,0.0847037545950523,"linear",1
"auc",1,0.722972972972973,"linear",1
"eauc",1,0.277027027027027,"linear",1
"qwk",1,0.243542435424354,"linear",1
"eqwk",1,0.756457564575646,"linear",1
"acc",2,0.414634146341463,"linear",1
"binacc",2,0.878048780487805,"linear",1
"eacc",2,0.585365853658537,"linear",1
"ebinacc",2,0.121951219512195,"linear",1
"nll",2,1.51161619626477,"linear",1
"binnll",2,0.303291948637656,"linear",1
"rps",2,0.110851372753067,"linear",1
"cint",2,-7.97259510723027,"linear",1
"cslope",2,0.418506620523465,"linear",1
"brier",2,0.0898003472201038,"linear",1
"auc",2,0.790540540540541,"linear",1
"eauc",2,0.209459459459459,"linear",1
"qwk",2,0.207672339198154,"linear",1
"eqwk",2,0.792327660801846,"linear",1
"acc",3,0.414634146341463,"linear",1
"binacc",3,0.878048780487805,"linear",1
"eacc",3,0.585365853658537,"linear",1
"ebinacc",3,0.121951219512195,"linear",1
"nll",3,1.49335056129571,"linear",1
"binnll",3,0.310327538498181,"linear",1
"rps",3,0.108854266501659,"linear",1
"cint",3,-8.00357549621347,"linear",1
"cslope",3,0.439316055873795,"linear",1
"brier",3,0.0912879194647041,"linear",1
"auc",3,0.763513513513513,"linear",1
"eauc",3,0.236486486486487,"linear",1
"qwk",3,-0.0040254948004026,"linear",1
"eqwk",3,1.0040254948004,"linear",1
"acc",4,0.414634146341463,"linear",1
"binacc",4,0.878048780487805,"linear",1
"eacc",4,0.585365853658537,"linear",1
"ebinacc",4,0.121951219512195,"linear",1
"nll",4,1.4781875013397,"linear",1
"binnll",4,0.304493504549854,"linear",1
"rps",4,0.106601865617804,"linear",1
"cint",4,-8.00229533664614,"linear",1
"cslope",4,0.49498121023859,"linear",1
"brier",4,0.0892520107561502,"linear",1
"auc",4,0.777027027027027,"linear",1
"eauc",4,0.222972972972973,"linear",1
"qwk",4,-0.0040254948004026,"linear",1
"eqwk",4,1.0040254948004,"linear",1
"acc",5,0.414634146341463,"linear",1
"binacc",5,0.878048780487805,"linear",1
"eacc",5,0.585365853658537,"linear",1
"ebinacc",5,0.121951219512195,"linear",1
"nll",5,1.50109094117372,"linear",1
"binnll",5,0.30881774225715,"linear",1
"rps",5,0.109557765887074,"linear",1
"cint",5,-8.00450042432425,"linear",1
"cslope",5,0.438798139352518,"linear",1
"brier",5,0.0904860489425453,"linear",1
"auc",5,0.756756756756757,"linear",1
"eauc",5,0.243243243243243,"linear",1
"qwk",5,-0.00240480961923861,"linear",1
"eqwk",5,1.00240480961924,"linear",1
"acc",1,0.414634146341463,"log-linear",1
"binacc",1,0.902439024390244,"log-linear",1
"eacc",1,0.585365853658537,"log-linear",1
"ebinacc",1,0.0975609756097561,"log-linear",1
"nll",1,1.51329782194873,"log-linear",1
"binnll",1,0.298072371431444,"log-linear",1
"rps",1,0.109077718130061,"log-linear",1
"cint",1,-7.89261343891757,"log-linear",1
"cslope",1,0.47492816783473,"log-linear",1
"brier",1,0.0847037545950523,"log-linear",1
"auc",1,0.722972972972973,"log-linear",1
"eauc",1,0.277027027027027,"log-linear",1
"qwk",1,0.243542435424354,"log-linear",1
"eqwk",1,0.756457564575646,"log-linear",1
"acc",2,0.414634146341463,"log-linear",1
"binacc",2,0.878048780487805,"log-linear",1
"eacc",2,0.585365853658537,"log-linear",1
"ebinacc",2,0.121951219512195,"log-linear",1
"nll",2,1.51233110771715,"log-linear",1
"binnll",2,0.304991254005597,"log-linear",1
"rps",2,0.111267671429781,"log-linear",1
"cint",2,-7.98293806460737,"log-linear",1
"cslope",2,0.407380986105985,"log-linear",1
"brier",2,0.0905632370136368,"log-linear",1
"auc",2,0.783783783783784,"log-linear",1
"eauc",2,0.216216216216216,"log-linear",1
"qwk",2,0.207672339198154,"log-linear",1
"eqwk",2,0.792327660801846,"log-linear",1
"acc",3,0.414634146341463,"log-linear",1
"binacc",3,0.878048780487805,"log-linear",1
"eacc",3,0.585365853658537,"log-linear",1
"ebinacc",3,0.121951219512195,"log-linear",1
"nll",3,1.4925899303087,"log-linear",1
"binnll",3,0.311930249473049,"log-linear",1
"rps",3,0.109177690238201,"log-linear",1
"cint",3,-8.01584913605533,"log-linear",1
"cslope",3,0.428867900489132,"log-linear",1
"brier",3,0.0919448489167596,"log-linear",1
"auc",3,0.763513513513513,"log-linear",1
"eauc",3,0.236486486486487,"log-linear",1
"qwk",3,-0.0040254948004026,"log-linear",1
"eqwk",3,1.0040254948004,"log-linear",1
"acc",4,0.414634146341463,"log-linear",1
"binacc",4,0.878048780487805,"log-linear",1
"eacc",4,0.585365853658537,"log-linear",1
"ebinacc",4,0.121951219512195,"log-linear",1
"nll",4,1.47685624726069,"log-linear",1
"binnll",4,0.305672019638867,"log-linear",1
"rps",4,0.106785062200394,"log-linear",1
"cint",4,-8.01414648454134,"log-linear",1
"cslope",4,0.485426556035989,"log-linear",1
"brier",4,0.0897709796406487,"log-linear",1
"auc",4,0.77027027027027,"log-linear",1
"eauc",4,0.22972972972973,"log-linear",1
"qwk",4,-0.0040254948004026,"log-linear",1
"eqwk",4,1.0040254948004,"log-linear",1
"acc",5,0.414634146341463,"log-linear",1
"binacc",5,0.878048780487805,"log-linear",1
"eacc",5,0.585365853658537,"log-linear",1
"ebinacc",5,0.121951219512195,"log-linear",1
"nll",5,1.49734031330331,"log-linear",1
"binnll",5,0.309915146726562,"log-linear",1
"rps",5,0.109550020395572,"log-linear",1
"cint",5,-8.024679780462,"log-linear",1
"cslope",5,0.434138756980825,"log-linear",1
"brier",5,0.0909627762247024,"log-linear",1
"auc",5,0.756756756756757,"log-linear",1
"eauc",5,0.243243243243243,"log-linear",1
"qwk",5,-0.00240480961923861,"log-linear",1
"eqwk",5,1.00240480961924,"log-linear",1
"acc",1,0.414634146341463,"trafo",1
"binacc",1,0.902439024390244,"trafo",1
"eacc",1,0.585365853658537,"trafo",1
"ebinacc",1,0.0975609756097561,"trafo",1
"nll",1,1.51329782194873,"trafo",1
"binnll",1,0.298072371431444,"trafo",1
"rps",1,0.109077718130061,"trafo",1
"cint",1,-7.89261343891757,"trafo",1
"cslope",1,0.47492816783473,"trafo",1
"brier",1,0.0847037545950523,"trafo",1
"auc",1,0.722972972972973,"trafo",1
"eauc",1,0.277027027027027,"trafo",1
"qwk",1,0.243542435424354,"trafo",1
"eqwk",1,0.756457564575646,"trafo",1
"acc",2,0.414634146341463,"trafo",1
"binacc",2,0.878048780487805,"trafo",1
"eacc",2,0.585365853658537,"trafo",1
"ebinacc",2,0.121951219512195,"trafo",1
"nll",2,1.51003753650284,"trafo",1
"binnll",2,0.302926483978137,"trafo",1
"rps",2,0.110769905116342,"trafo",1
"cint",2,-7.9580198444017,"trafo",1
"cslope",2,0.417557502166102,"trafo",1
"brier",2,0.0898263625547442,"trafo",1
"auc",2,0.790540540540541,"trafo",1
"eauc",2,0.209459459459459,"trafo",1
"qwk",2,0.207672339198154,"trafo",1
"eqwk",2,0.792327660801846,"trafo",1
"acc",3,0.414634146341463,"trafo",1
"binacc",3,0.878048780487805,"trafo",1
"eacc",3,0.585365853658537,"trafo",1
"ebinacc",3,0.121951219512195,"trafo",1
"nll",3,1.48956448458139,"trafo",1
"binnll",3,0.308239226744728,"trafo",1
"rps",3,0.10859186196754,"trafo",1
"cint",3,-7.98155020620467,"trafo",1
"cslope",3,0.441774456164331,"trafo",1
"brier",3,0.0908180701831224,"trafo",1
"auc",3,0.77027027027027,"trafo",1
"eauc",3,0.22972972972973,"trafo",1
"qwk",3,-0.0040254948004026,"trafo",1
"eqwk",3,1.0040254948004,"trafo",1
"acc",4,0.414634146341463,"trafo",1
"binacc",4,0.878048780487805,"trafo",1
"eacc",4,0.585365853658537,"trafo",1
"ebinacc",4,0.121951219512195,"trafo",1
"nll",4,1.47496425120009,"trafo",1
"binnll",4,0.303311693869084,"trafo",1
"rps",4,0.10642517739809,"trafo",1
"cint",4,-7.98065840768471,"trafo",1
"cslope",4,0.494044923719389,"trafo",1
"brier",4,0.0890339722053391,"trafo",1
"auc",4,0.777027027027027,"trafo",1
"eauc",4,0.222972972972973,"trafo",1
"qwk",4,-0.0040254948004026,"trafo",1
"eqwk",4,1.0040254948004,"trafo",1
"acc",5,0.414634146341463,"trafo",1
"binacc",5,0.878048780487805,"trafo",1
"eacc",5,0.585365853658537,"trafo",1
"ebinacc",5,0.121951219512195,"trafo",1
"nll",5,1.50655569056003,"trafo",1
"binnll",5,0.308752317383732,"trafo",1
"rps",5,0.110368213544304,"trafo",1
"cint",5,-7.95223378730647,"trafo",1
"cslope",5,0.413568500008463,"trafo",1
"brier",5,0.0906064374012156,"trafo",1
"auc",5,0.743243243243243,"trafo",1
"eauc",5,0.256756756756757,"trafo",1
"qwk",5,-0.00240480961923861,"trafo",1
"eqwk",5,1.00240480961924,"trafo",1
"acc",1,0.414634146341463,"avg",1
"binacc",1,0.902439024390244,"avg",1
"eacc",1,0.585365853658537,"avg",1
"ebinacc",1,0.0975609756097561,"avg",1
"nll",1,1.51329782194873,"avg",1
"binnll",1,0.298072371431444,"avg",1
"rps",1,0.109077718130061,"avg",1
"cint",1,-7.89261343891757,"avg",1
"cslope",1,0.47492816783473,"avg",1
"brier",1,0.0847037545950523,"avg",1
"auc",1,0.722972972972973,"avg",1
"eauc",1,0.277027027027027,"avg",1
"qwk",1,0.243542435424354,"avg",1
"eqwk",1,0.756457564575646,"avg",1
"acc",2,0.402439024390244,"avg",1
"binacc",2,0.878048780487805,"avg",1
"eacc",2,0.597560975609756,"avg",1
"ebinacc",2,0.121951219512195,"avg",1
"nll",2,1.51821967773049,"avg",1
"binnll",2,0.306613723718778,"avg",1
"rps",2,0.112085958214535,"avg",1
"cint",2,-7.97434547721267,"avg",1
"cslope",2,0.408632349681415,"avg",1
"brier",2,0.0909548217761034,"avg",1
"auc",2,0.766891891891892,"avg",1
"eauc",2,0.233108108108108,"avg",1
"qwk",2,0.0836979555258489,"avg",1
"eqwk",2,0.916302044474151,"avg",1
"acc",3,0.40650406504065,"avg",1
"binacc",3,0.869918699186992,"avg",1
"eacc",3,0.59349593495935,"avg",1
"ebinacc",3,0.130081300813008,"avg",1
"nll",3,1.50221154382622,"avg",1
"binnll",3,0.313845302365158,"avg",1
"rps",3,0.110670208356283,"avg",1
"cint",3,-8.00422401317078,"avg",1
"cslope",3,0.412465195001636,"avg",1
"brier",3,0.0930377170025879,"avg",1
"auc",3,0.754504504504505,"avg",1
"eauc",3,0.245495495495495,"avg",1
"qwk",3,0.0544568054170984,"avg",1
"eqwk",3,0.945543194582902,"avg",1
"acc",4,0.408536585365854,"avg",1
"binacc",4,0.871951219512195,"avg",1
"eacc",4,0.591463414634146,"avg",1
"ebinacc",4,0.128048780487805,"avg",1
"nll",4,1.48718088945804,"avg",1
"binnll",4,0.308867018187939,"avg",1
"rps",4,0.108394533199901,"avg",1
"cint",4,-8.0032585766259,"avg",1
"cslope",4,0.470797386122343,"avg",1
"brier",4,0.0910043607414195,"avg",1
"auc",4,0.775337837837838,"avg",1
"eauc",4,0.224662162162162,"avg",1
"qwk",4,0.0402414016580141,"avg",1
"eqwk",4,0.959758598341986,"avg",1
"acc",5,0.404878048780488,"avg",1
"binacc",5,0.873170731707317,"avg",1
"eacc",5,0.595121951219512,"avg",1
"ebinacc",5,0.126829268292683,"avg",1
"nll",5,1.53274305861224,"avg",1
"binnll",5,0.319919117946171,"avg",1
"rps",5,0.112890791338792,"avg",1
"cint",5,-7.99780804760454,"avg",1
"cslope",5,0.412013590899007,"avg",1
"brier",5,0.093524019531584,"avg",1
"auc",5,0.739189189189189,"avg",1
"eauc",5,0.260810810810811,"avg",1
"qwk",5,0.0595366459875016,"avg",1
"eqwk",5,0.940463354012498,"avg",1
"acc",1,0.560975609756098,"linear",2
"binacc",1,0.902439024390244,"linear",2
"eacc",1,0.439024390243902,"linear",2
"ebinacc",1,0.0975609756097561,"linear",2
"nll",1,1.28120089299569,"linear",2
"binnll",1,0.31886626506639,"linear",2
"rps",1,0.120273348412029,"linear",2
"cint",1,0.16499368052672,"linear",2
"cslope",1,0.911250616679728,"linear",2
"brier",1,0.0896640175259812,"linear",2
"auc",1,0.733333333333333,"linear",2
"eauc",1,0.266666666666667,"linear",2
"qwk",1,0.275322909585316,"linear",2
"eqwk",1,0.724677090414684,"linear",2
"acc",2,0.560975609756098,"linear",2
"binacc",2,0.878048780487805,"linear",2
"eacc",2,0.439024390243902,"linear",2
"ebinacc",2,0.121951219512195,"linear",2
"nll",2,1.36058069964235,"linear",2
"binnll",2,0.381459818588818,"linear",2
"rps",2,0.134257212637927,"linear",2
"cint",2,-0.0764534118614785,"linear",2
"cslope",2,0.575468354214763,"linear",2
"brier",2,0.114595553678836,"linear",2
"auc",2,0.622222222222222,"linear",2
"eauc",2,0.377777777777778,"linear",2
"qwk",2,0.296087813115677,"linear",2
"eqwk",2,0.703912186884323,"linear",2
"acc",3,0.536585365853659,"linear",2
"binacc",3,0.878048780487805,"linear",2
"eacc",3,0.463414634146341,"linear",2
"ebinacc",3,0.121951219512195,"linear",2
"nll",3,1.35530623457383,"linear",2
"binnll",3,0.378797240148659,"linear",2
"rps",3,0.133584024796615,"linear",2
"cint",3,0.0107495278796702,"linear",2
"cslope",3,0.566688142450759,"linear",2
"brier",3,0.115368663102598,"linear",2
"auc",3,0.655555555555556,"linear",2
"eauc",3,0.344444444444444,"linear",2
"qwk",3,0.222395427383736,"linear",2
"eqwk",3,0.777604572616264,"linear",2
"acc",4,0.536585365853659,"linear",2
"binacc",4,0.829268292682927,"linear",2
"eacc",4,0.463414634146341,"linear",2
"ebinacc",4,0.170731707317073,"linear",2
"nll",4,1.35822379177611,"linear",2
"binnll",4,0.391086475789495,"linear",2
"rps",4,0.136660782301266,"linear",2
"cint",4,-0.0409432236259039,"linear",2
"cslope",4,0.527989389790884,"linear",2
"brier",4,0.121527273461927,"linear",2
"auc",4,0.644444444444444,"linear",2
"eauc",4,0.355555555555556,"linear",2
"qwk",4,0.222395427383736,"linear",2
"eqwk",4,0.777604572616264,"linear",2
"acc",5,0.536585365853659,"linear",2
"binacc",5,0.853658536585366,"linear",2
"eacc",5,0.463414634146341,"linear",2
"ebinacc",5,0.146341463414634,"linear",2
"nll",5,1.36235987583066,"linear",2
"binnll",5,0.391689973542836,"linear",2
"rps",5,0.135904570403348,"linear",2
"cint",5,-0.0600255823690686,"linear",2
"cslope",5,0.527242331485065,"linear",2
"brier",5,0.120692725646556,"linear",2
"auc",5,0.627777777777778,"linear",2
"eauc",5,0.372222222222222,"linear",2
"qwk",5,0.222395427383736,"linear",2
"eqwk",5,0.777604572616264,"linear",2
"acc",1,0.560975609756098,"log-linear",2
"binacc",1,0.902439024390244,"log-linear",2
"eacc",1,0.439024390243902,"log-linear",2
"ebinacc",1,0.0975609756097561,"log-linear",2
"nll",1,1.28120089299569,"log-linear",2
"binnll",1,0.31886626506639,"log-linear",2
"rps",1,0.120273348412029,"log-linear",2
"cint",1,0.16499368052672,"log-linear",2
"cslope",1,0.911250616679728,"log-linear",2
"brier",1,0.0896640175259812,"log-linear",2
"auc",1,0.733333333333333,"log-linear",2
"eauc",1,0.266666666666667,"log-linear",2
"qwk",1,0.275322909585316,"log-linear",2
"eqwk",1,0.724677090414684,"log-linear",2
"acc",2,0.560975609756098,"log-linear",2
"binacc",2,0.878048780487805,"log-linear",2
"eacc",2,0.439024390243902,"log-linear",2
"ebinacc",2,0.121951219512195,"log-linear",2
"nll",2,1.36666027840549,"log-linear",2
"binnll",2,0.384435346721561,"log-linear",2
"rps",2,0.135109820123949,"log-linear",2
"cint",2,-0.106607867799622,"log-linear",2
"cslope",2,0.565692386604514,"log-linear",2
"brier",2,0.116052601674947,"log-linear",2
"auc",2,0.622222222222222,"log-linear",2
"eauc",2,0.377777777777778,"log-linear",2
"qwk",2,0.296087813115677,"log-linear",2
"eqwk",2,0.703912186884323,"log-linear",2
"acc",3,0.536585365853659,"log-linear",2
"binacc",3,0.853658536585366,"log-linear",2
"eacc",3,0.463414634146341,"log-linear",2
"ebinacc",3,0.146341463414634,"log-linear",2
"nll",3,1.36136716122046,"log-linear",2
"binnll",3,0.38127339377877,"log-linear",2
"rps",3,0.134384952408395,"log-linear",2
"cint",3,-0.0199100079407094,"log-linear",2
"cslope",3,0.556781644226428,"log-linear",2
"brier",3,0.11659109975415,"log-linear",2
"auc",3,0.661111111111111,"log-linear",2
"eauc",3,0.338888888888889,"log-linear",2
"qwk",3,0.222395427383736,"log-linear",2
"eqwk",3,0.777604572616264,"log-linear",2
"acc",4,0.536585365853659,"log-linear",2
"binacc",4,0.829268292682927,"log-linear",2
"eacc",4,0.463414634146341,"log-linear",2
"ebinacc",4,0.170731707317073,"log-linear",2
"nll",4,1.36648649097461,"log-linear",2
"binnll",4,0.394197886052691,"log-linear",2
"rps",4,0.137672682072668,"log-linear",2
"cint",4,-0.0779687836006255,"log-linear",2
"cslope",4,0.518053932895617,"log-linear",2
"brier",4,0.12339277032714,"log-linear",2
"auc",4,0.65,"log-linear",2
"eauc",4,0.35,"log-linear",2
"qwk",4,0.198793727382388,"log-linear",2
"eqwk",4,0.801206272617612,"log-linear",2
"acc",5,0.560975609756098,"log-linear",2
"binacc",5,0.829268292682927,"log-linear",2
"eacc",5,0.439024390243902,"log-linear",2
"ebinacc",5,0.170731707317073,"log-linear",2
"nll",5,1.36902405837615,"log-linear",2
"binnll",5,0.395181083668386,"log-linear",2
"rps",5,0.136916667529727,"log-linear",2
"cint",5,-0.0949992280108772,"log-linear",2
"cslope",5,0.516048870163173,"log-linear",2
"brier",5,0.122551279788388,"log-linear",2
"auc",5,0.633333333333333,"log-linear",2
"eauc",5,0.366666666666667,"log-linear",2
"qwk",5,0.222106179286336,"log-linear",2
"eqwk",5,0.777893820713664,"log-linear",2
"acc",1,0.560975609756098,"trafo",2
"binacc",1,0.902439024390244,"trafo",2
"eacc",1,0.439024390243902,"trafo",2
"ebinacc",1,0.0975609756097561,"trafo",2
"nll",1,1.28120089299569,"trafo",2
"binnll",1,0.31886626506639,"trafo",2
"rps",1,0.120273348412029,"trafo",2
"cint",1,0.16499368052672,"trafo",2
"cslope",1,0.911250616679728,"trafo",2
"brier",1,0.0896640175259812,"trafo",2
"auc",1,0.733333333333333,"trafo",2
"eauc",1,0.266666666666667,"trafo",2
"qwk",1,0.275322909585316,"trafo",2
"eqwk",1,0.724677090414684,"trafo",2
"acc",2,0.560975609756098,"trafo",2
"binacc",2,0.878048780487805,"trafo",2
"eacc",2,0.439024390243902,"trafo",2
"ebinacc",2,0.121951219512195,"trafo",2
"nll",2,1.40720717099826,"trafo",2
"binnll",2,0.380519236362676,"trafo",2
"rps",2,0.134507597972791,"trafo",2
"cint",2,-0.0253105819247414,"trafo",2
"cslope",2,0.54299788311766,"trafo",2
"brier",2,0.114181591142856,"trafo",2
"auc",2,0.622222222222222,"trafo",2
"eauc",2,0.377777777777778,"trafo",2
"qwk",2,0.296087813115677,"trafo",2
"eqwk",2,0.703912186884323,"trafo",2
"acc",3,0.536585365853659,"trafo",2
"binacc",3,0.878048780487805,"trafo",2
"eacc",3,0.463414634146341,"trafo",2
"ebinacc",3,0.121951219512195,"trafo",2
"nll",3,1.39825460814293,"trafo",2
"binnll",3,0.378199187426034,"trafo",2
"rps",3,0.133795953359769,"trafo",2
"cint",3,0.0635888352622089,"trafo",2
"cslope",3,0.53106432222104,"trafo",2
"brier",3,0.11501862716022,"trafo",2
"auc",3,0.666666666666667,"trafo",2
"eauc",3,0.333333333333333,"trafo",2
"qwk",3,0.28843614412375,"trafo",2
"eqwk",3,0.71156385587625,"trafo",2
"acc",4,0.560975609756098,"trafo",2
"binacc",4,0.829268292682927,"trafo",2
"eacc",4,0.439024390243902,"trafo",2
"ebinacc",4,0.170731707317073,"trafo",2
"nll",4,1.39919830654558,"trafo",2
"binnll",4,0.395193026355671,"trafo",2
"rps",4,0.13742726128817,"trafo",2
"cint",4,0.0188915015454547,"trafo",2
"cslope",4,0.461449938369867,"trafo",2
"brier",4,0.122129107827892,"trafo",2
"auc",4,0.627777777777778,"trafo",2
"eauc",4,0.372222222222222,"trafo",2
"qwk",4,0.222106179286336,"trafo",2
"eqwk",4,0.777893820713664,"trafo",2
"acc",5,0.560975609756098,"trafo",2
"binacc",5,0.853658536585366,"trafo",2
"eacc",5,0.439024390243902,"trafo",2
"ebinacc",5,0.146341463414634,"trafo",2
"nll",5,1.40080682895327,"trafo",2
"binnll",5,0.393306193251006,"trafo",2
"rps",5,0.136256056449705,"trafo",2
"cint",5,-0.00204221274260961,"trafo",2
"cslope",5,0.471918714382295,"trafo",2
"brier",5,0.120744377405819,"trafo",2
"auc",5,0.622222222222222,"trafo",2
"eauc",5,0.377777777777778,"trafo",2
"qwk",5,0.222106179286336,"trafo",2
"eqwk",5,0.777893820713664,"trafo",2
"acc",1,0.560975609756098,"avg",2
"binacc",1,0.902439024390244,"avg",2
"eacc",1,0.439024390243902,"avg",2
"ebinacc",1,0.0975609756097561,"avg",2
"nll",1,1.28120089299569,"avg",2
"binnll",1,0.31886626506639,"avg",2
"rps",1,0.120273348412029,"avg",2
