"w.1","w.2","w.3","w.4","w.5","spl","method"
0.0583937968507157,0,0.651677377781438,0.289928825367847,0,1,"linear"
0.320320475217027,0.0257239134447929,0,0,0.653955611338181,2,"linear"
0.648999797369229,0,0,0.351000202630771,0,3,"linear"
0,0,0.216136957067114,0.15958755298034,0.624275489952546,4,"linear"
0,0,0.613279796180004,0.384348414287584,0.00237178953241115,5,"linear"
0,0.795121397394252,0.204878602605748,0,0,6,"linear"
0,0,0.680747726201073,0.319252273798927,0,1,"log-linear"
0.242962314459775,0.0835516717315647,0,0,0.673486013808661,2,"log-linear"
0.627045106319137,0.163916905228209,0,0.0971378152922162,0.111900173160438,3,"log-linear"
0,0,0.21423872038393,0.215564080530892,0.570197199085178,4,"log-linear"
0,0,0.647437201663586,0.179152064904678,0.173410733431736,5,"log-linear"
0,0.716368553457765,0.283631446542235,0,0,6,"log-linear"
0.127374698752371,0,0.497937864294912,0.291458456686535,0.0832289802661818,1,"trafo"
0.250091839522053,0.103713181741286,0.102446409395212,0,0.543748569341448,2,"trafo"
0.611396470519609,0,0,0.370753739629199,0.0178497898511912,3,"trafo"
0,0,0.217630181318227,0.13946708972961,0.642902728952163,4,"trafo"
0.0590112183010527,0.21940010873968,0.448132414580611,0.251582882589974,0.0218733757886827,5,"trafo"
0,0.679105252798707,0.320894747201293,0,0,6,"trafo"
