"w.1","w.2","w.3","w.4","w.5","spl","method"
0.588016203813108,0.411983796186892,0,0,0,1,"linear"
0,0.543603728990361,0.222126765512094,0.234269505497545,0,2,"linear"
0,0,0.664877677686479,0.335122322313521,0,3,"linear"
0,0,0.592489977331435,0.407510022668565,0,4,"linear"
0,0.202728139390634,0.321723471333875,0.297252543214199,0.178295846061291,5,"linear"
0,0.20590674396709,0.523752292775693,0,0.270340963257218,6,"linear"
0.547538772316186,0.450258016490024,0,0.00220321119379001,0,1,"log-linear"
0,0.414368497445142,0.270707878340549,0.314923624214309,0,2,"log-linear"
0,0,0.635025358879694,0.364974641120306,0,3,"log-linear"
0,0,0.54734944300297,0.45265055699703,0,4,"log-linear"
0,0.0951957437460785,0.306864599009489,0.411208419723431,0.186731237521002,5,"log-linear"
0,0.263617723954699,0.523205473718451,0,0.21317680232685,6,"log-linear"
0.58771474324699,0.354962894422541,0,0.0573223623304685,0,1,"trafo"
0,0.59613147731083,0.249052914967396,0.154815607721774,0,2,"trafo"
0,0,0.670275325214379,0.329724674785621,0,3,"trafo"
0,0,0.580330966216643,0.419669033783357,0,4,"trafo"
0.0438225677394843,0.351905090291707,0.143932351620074,0.180966409095359,0.279373581253376,5,"trafo"
0,0.143150785338149,0.495148991821378,0.0669362632153932,0.29476395962508,6,"trafo"
