"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0.085127714291825,0.251733100267419,0,0.663139185440756,1,"linear"
0,0.61505921592363,0.340088183138865,0,0.0448526009375053,2,"linear"
0.370315821083339,0.318409195218276,0,0.05051361825505,0.260761365443335,3,"linear"
0,0.244412619657574,0,0,0.755587380342426,4,"linear"
0,0.0685060728116647,0.550462076105897,0.381031851082438,0,5,"linear"
0.46451017651151,0,0,0.33015841657073,0.20533140691776,6,"linear"
0,0.0616662330888044,0.205855257618162,0,0.732478509293033,1,"log-linear"
0,0.637851890802146,0.362148109197855,0,0,2,"log-linear"
0.45762539378845,0.320451303723342,0,0,0.221923302488208,3,"log-linear"
0,0.229099779018936,0,0.0312159721140409,0.739684248867023,4,"log-linear"
0,0.191025806117143,0.48902274218942,0.319951451693437,0,5,"log-linear"
0.50111638464912,0,0,0.463630220149352,0.0352533952015279,6,"log-linear"
0,0.052763472744306,0.252890096154423,0,0.694346431101271,1,"trafo"
0,0.572092130846819,0.302612670911493,0,0.125295198241687,2,"trafo"
0.511812987943161,0.296020195065306,0,0,0.192166816991534,3,"trafo"
0,0,0,0.126277189157532,0.873722810842468,4,"trafo"
0,0.00477031940144705,0.535530134336693,0.45969954626186,0,5,"trafo"
0.342719296218717,0,0,0.462192005546231,0.195088698235052,6,"trafo"
