"w.1","w.2","w.3","w.4","w.5","spl","method"
0.370143885972216,0.26437669308751,0.365479420940274,0,0,1,"linear"
0.243122035040697,0,0.672137462264886,0,0.0847405026944171,2,"linear"
0,0,1,0,0,3,"linear"
0,0,0,0.590336271194147,0.409663728805853,4,"linear"
0,0.231248872616204,0.501609117745644,0.267142009638152,0,5,"linear"
0,0.687010577035125,0,0.312989422964875,0,6,"linear"
0.229714231284231,0.407615054450992,0.362670714264778,0,0,1,"log-linear"
0.379986410818897,0,0.600646169852043,0,0.0193674193290607,2,"log-linear"
0,0.0879159576137398,0.91208404238626,0,0,3,"log-linear"
0,0,0,0.553883422475807,0.446116577524193,4,"log-linear"
0,0.287863843088051,0.376323161646943,0.335812995265006,0,5,"log-linear"
0,0.636090323941044,0,0.363909676058956,0,6,"log-linear"
0.467204811809759,0,0.321258107992669,0.211537080197572,0,1,"trafo"
0,0.0944398473434874,0.776122812809171,0.0607083371622613,0.0687290026850799,2,"trafo"
0,0,1,0,0,3,"trafo"
0,0,0,0.600452871487494,0.399547128512506,4,"trafo"
0,0.245547588501269,0.645940236626351,0.0393929113567039,0.0691192635156766,5,"trafo"
0,0.697810997843545,0,0.302189002156455,0,6,"trafo"
