"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0,0,0,1,1,"linear"
0.446909362112752,0,0,0.417973334232569,0.135117303654679,2,"linear"
0,0.511573031603986,0.488426968396014,0,0,3,"linear"
0.0665096116150476,0,0.933490388384952,0,0,4,"linear"
0.456850614806035,0,0,0.366126346834965,0.177023038359,5,"linear"
0,0,0.786698154254015,0,0.213301845745985,6,"linear"
0,0,0,0,1,1,"log-linear"
0.352404292756317,0,0.0595623504082696,0.35527756497921,0.232755791856204,2,"log-linear"
0,0.565443974576559,0.434556025423441,0,0,3,"log-linear"
0.0518251317748714,0,0.948174868225129,0,0,4,"log-linear"
0.472992081403275,0,0,0.376522141605036,0.15048577699169,5,"log-linear"
0,0,0.962031810579347,0,0.0379681894206533,6,"log-linear"
0,0,0,0,1,1,"trafo"
0.438541880619095,0,0.172315389092787,0.310773783043656,0.0783689472444616,2,"trafo"
0,0.54965722043228,0.450342779567719,0,0,3,"trafo"
0,0,1,0,0,4,"trafo"
0.559790170139793,0,0,0.440209829860207,0,5,"trafo"
0,0,0.748593329069947,0,0.251406670930053,6,"trafo"
