"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0.302892095695123,0.418023277478249,0.279084626826628,0,1,"linear"
0,0,0.766324113502029,0,0.233675886497971,2,"linear"
0.942288796135385,0.0577112038646146,0,0,0,3,"linear"
0,0,0.352271252423575,0.647728747576425,0,4,"linear"
0.650743469452051,0,0.192725718749311,0.156530811798639,0,5,"linear"
0.0832108930510612,0.516207571621494,0.228575669512327,0.172005865815118,0,6,"linear"
0,0.20311882854401,0.389628825926556,0.407252345529433,0,1,"log-linear"
0,0,0.786860374381461,0,0.213139625618539,2,"log-linear"
0.854321776575139,0.145678223424861,0,0,0,3,"log-linear"
0,0,0.38506560688918,0.61493439311082,0,4,"log-linear"
0.568485952018635,0.133850897325427,0.297663150655938,0,0,5,"log-linear"
0.186548658816988,0.52056111804932,0.18869168815178,0.104198534981913,0,6,"log-linear"
0,0.3404642473701,0.313533839488516,0.346001913141384,0,1,"trafo"
0.0113143710240034,0,0.726793285000648,0,0.261892343975348,2,"trafo"
0.928230722138409,0.0717692778615913,0,0,0,3,"trafo"
0,0,0.331891702640762,0.668108297359238,0,4,"trafo"
0.606668631546277,0,0.1802188722088,0.213112496244923,0,5,"trafo"
0.0661715951663662,0.485925023512688,0.277625206897505,0.170278174423441,0,6,"trafo"
