"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0.470147411627272,0.331876761079318,0.19797582729341,0,1,"linear"
0.219455833940063,0,0.325632851126365,0.454911314933572,0,2,"linear"
0.0760558273941739,0.581953340070072,0,0,0.341990832535754,3,"linear"
0,0,0,0.452499250060417,0.547500749939583,4,"linear"
0,0,0.00275738044976401,0,0.997242619550236,5,"linear"
0,0.57835523284935,0.127094305907456,0.294550461243194,0,6,"linear"
0,0.531217892375654,0.394636633643601,0.0741454739807444,0,1,"log-linear"
0.20748014271342,0,0.343793823967764,0.448726033318816,0,2,"log-linear"
0.100410560504249,0.577591383441222,0,0,0.321998056054528,3,"log-linear"
0,0,0,0.45347257384589,0.54652742615411,4,"log-linear"
0,0,0,0,1,5,"log-linear"
0,0.518157558754939,0.136235057022935,0.345607384222127,0,6,"log-linear"
0,0.267621793384217,0.392884049900959,0.339494156714823,0,1,"trafo"
0.316382291148896,0,0.307693918256822,0.375923790594282,0,2,"trafo"
0,0.620652018136316,0,0,0.379347981863684,3,"trafo"
0,0,0.143165761204164,0.338951289652579,0.517882949143256,4,"trafo"
0.12977623126405,0,0,0,0.87022376873595,5,"trafo"
0.0522754321033801,0.490161423077325,0.304928814243363,0.152634330575931,0,6,"trafo"
