"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0,0,0,1,1,"linear"
0,0.642110960280007,0.357889039719993,0,0,2,"linear"
0,0.464149978313935,0,0.535850021686065,0,3,"linear"
0,0,0,1,0,4,"linear"
0.220513313686974,0,0,0.57781903571033,0.201667650602696,5,"linear"
0,0.0317368177828663,0.389720390116434,0.5785427921007,0,6,"linear"
0,0,0,0.0119906155354618,0.988009384464538,1,"log-linear"
0,0.620789824919317,0.379210175080683,0,0,2,"log-linear"
0,0.568421904004914,0,0.431578095995086,0,3,"log-linear"
0,0,0,1,0,4,"log-linear"
0.178338668583061,0,0,0.561575340414781,0.260085991002158,5,"log-linear"
0,0.11137480624645,0.381111378724584,0.507513815028966,0,6,"log-linear"
0,0,0,0,1,1,"trafo"
0,0.692304081743572,0.307695918256428,0,0,2,"trafo"
0,0.358006047285155,0,0.64151994091496,0.000474011799885088,3,"trafo"
0,0,0,1,0,4,"trafo"
0.36955031991717,0,0,0.546547649824936,0.0839020302578945,5,"trafo"
0,0,0.426437584765476,0.573562415234524,0,6,"trafo"
