"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0,0,0,1,1,"linear"
0,0.447893775691011,0,0.552106224308989,0,2,"linear"
0,0.516499392767929,0.433756373307926,0,0.0497442339241447,3,"linear"
0,1,0,0,0,4,"linear"
0,0.253147059400632,0.12918448152718,0,0.617668459072188,5,"linear"
0,0.856039610856498,0.0675392194753948,0.0764211696681074,0,6,"linear"
0,0,0,0,1,1,"log-linear"
0,0.485781846568776,0,0.514218153431224,0,2,"log-linear"
0,0.370902648257503,0.61151050707505,0,0.0175868446674475,3,"log-linear"
0,1,0,0,0,4,"log-linear"
0,0.240363555723147,0.180335373557702,0,0.57930107071915,5,"log-linear"
0,0.975311442392818,0,0.0246885576071817,0,6,"log-linear"
0,0.167667292672498,0,0,0.832332707327502,1,"trafo"
0,0.298748173843133,0,0.631534514598757,0.0697173115581096,2,"trafo"
0,0.490530957964346,0.409345658610142,0,0.100123383425513,3,"trafo"
0,1,0,0,0,4,"trafo"
0,0.0188061313401163,0.12354133153902,0,0.857652537120864,5,"trafo"
0,0.756529804984586,0,0.243470195015414,0,6,"trafo"
