"w.1","w.2","w.3","w.4","w.5","spl","method"
0.287112478147678,0.251708668904399,0,0.461178852947923,0,1,"linear"
0.31586670283166,0.428934061689497,0.255199235478843,0,0,2,"linear"
0.244879103800908,0.755120896199092,0,0,0,3,"linear"
0,0,1,0,0,4,"linear"
0,0,0,0.130161743534625,0.869838256465375,5,"linear"
0,0.393861401980612,0,0.331359687990894,0.274778910028494,6,"linear"
0.257982377897034,0.372708691482953,0,0.369308930620012,0,1,"log-linear"
0.398335342821838,0.381009522968703,0.160251179008787,0,0.0604039552006715,2,"log-linear"
0.172027839143065,0.827972160856935,0,0,0,3,"log-linear"
0,0,1,0,0,4,"log-linear"
0,0,0.0657825244025779,0.191515139401771,0.742702336195651,5,"log-linear"
0,0.485060083760864,0,0.514939916239136,0,6,"log-linear"
0.291650591118696,0.206725554457413,0,0.501623854423891,0,1,"trafo"
0.215355960334006,0.161085912070169,0.623558127595825,0,0,2,"trafo"
0.118965437387414,0.881034562612586,0,0,0,3,"trafo"
0,0,1,0,0,4,"trafo"
0,0,0.113745666597955,0,0.886254333402045,5,"trafo"
0,0.49911727077688,0,0.21966760186056,0.28121512736256,6,"trafo"
