"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0.567418971369811,0,0.432581028630189,0,1,"linear"
0,0.167096816062266,0,0,0.832903183937734,2,"linear"
0,0,0,0.5217725337046,0.4782274662954,3,"linear"
0,0,0,0,1,4,"linear"
0,0,0,1,0,5,"linear"
0.119853945222488,0.784034326757174,0,0,0.0961117280203384,6,"linear"
0,0.584197087826963,0,0.415802912173037,0,1,"log-linear"
0,0.143925149924692,0,0,0.856074850075308,2,"log-linear"
0,0,0,0.476710611796247,0.523289388203753,3,"log-linear"
0,0,0,0,1,4,"log-linear"
0,0,0,1,0,5,"log-linear"
0.204739583226962,0.747280110573698,0,0,0.04798030619934,6,"log-linear"
0,0.518861418032396,0,0.481138581967604,0,1,"trafo"
0,0.0647207341491245,0,0,0.935279265850876,2,"trafo"
0,0,0,0.620499370732827,0.379500629267173,3,"trafo"
0,0,0,0,1,4,"trafo"
0,0,0,1,0,5,"trafo"
0,0.7874225217632,0,0,0.2125774782368,6,"trafo"
