"metric","ens","val","spl"
"acc",1,0.463414634146341,1
"acc",2,0.414634146341463,1
"acc",3,0.439024390243902,1
"acc",4,0.414634146341463,1
"acc",5,0.414634146341463,1
"binacc",1,0.926829268292683,1
"binacc",2,0.902439024390244,1
"binacc",3,0.902439024390244,1
"binacc",4,0.878048780487805,1
"binacc",5,0.902439024390244,1
"eacc",1,0.536585365853659,1
"eacc",2,0.585365853658537,1
"eacc",3,0.560975609756098,1
"eacc",4,0.585365853658537,1
"eacc",5,0.585365853658537,1
"ebinacc",1,0.073170731707317,1
"ebinacc",2,0.0975609756097561,1
"ebinacc",3,0.0975609756097561,1
"ebinacc",4,0.121951219512195,1
"ebinacc",5,0.0975609756097561,1
"nll",1,1.41329155351977,1
"nll",2,1.36847565278758,1
"nll",3,1.46933454234685,1
"nll",4,1.36451013989376,1
"nll",5,1.41310596772266,1
"binnll",1,0.264649735631736,1
"binnll",2,0.27660196017457,1
"binnll",3,0.288790144750896,1
"binnll",4,0.284828382780304,1
"binnll",5,0.288525100372989,1
"rps",1,0.0994464498141206,1
"rps",2,0.0942946736919607,1
"rps",3,0.103091364016231,1
"rps",4,0.0957546519373176,1
"rps",5,0.0990605965353643,1
"cint",1,-7.77642323148812,1
"cint",2,-7.62994542318003,1
"cint",3,-7.40775888107095,1
"cint",4,-7.88964321450329,1
"cint",5,-7.68504492280551,1
"cslope",1,0.582505284397148,1
"cslope",2,0.989528431228657,1
"cslope",3,0.437985325226235,1
"cslope",4,0.75050921469025,1
"cslope",5,0.6232681303318,1
"brier",1,0.0786702908581671,1
"brier",2,0.078483467464324,1
"brier",3,0.0863286900439072,1
"brier",4,0.0826635037960087,1
"brier",5,0.0825307628722191,1
"auc",1,0.837837837837838,1
"auc",2,0.797297297297297,1
"auc",3,0.763513513513514,1
"auc",4,0.810810810810811,1
"auc",5,0.77027027027027,1
"eauc",1,0.162162162162162,1
"eauc",2,0.202702702702703,1
"eauc",3,0.236486486486486,1
"eauc",4,0.189189189189189,1
"eauc",5,0.22972972972973,1
"qwk",1,0.247175141242938,1
"qwk",2,0,1
"qwk",3,0.046910994764398,1
"qwk",4,-0.0040254948004026,1
"qwk",5,0.020125786163522,1
"eqwk",1,0.752824858757062,1
"eqwk",2,1,1
"eqwk",3,0.953089005235602,1
"eqwk",4,1.0040254948004,1
"eqwk",5,0.979874213836478,1
"acc",1,0.536585365853659,2
"acc",2,0.536585365853659,2
"acc",3,0.536585365853659,2
"acc",4,0.536585365853659,2
"acc",5,0.536585365853659,2
"binacc",1,0.853658536585366,2
"binacc",2,0.902439024390244,2
"binacc",3,0.902439024390244,2
"binacc",4,0.878048780487805,2
"binacc",5,0.902439024390244,2
"eacc",1,0.463414634146341,2
"eacc",2,0.463414634146341,2
"eacc",3,0.463414634146341,2
"eacc",4,0.463414634146341,2
"eacc",5,0.463414634146341,2
"ebinacc",1,0.146341463414634,2
"ebinacc",2,0.0975609756097561,2
"ebinacc",3,0.0975609756097561,2
"ebinacc",4,0.121951219512195,2
"ebinacc",5,0.0975609756097561,2
"nll",1,1.36408291196018,2
"nll",2,1.30944597411592,2
"nll",3,1.44676378924781,2
"nll",4,1.29479858660619,2
"nll",5,1.34258726961766,2
"binnll",1,0.373334953697975,2
"binnll",2,0.355422345354312,2
"binnll",3,0.357373615022302,2
"binnll",4,0.339282584820787,2
"binnll",5,0.288288096594906,2
"rps",1,0.132910791030852,2
"rps",2,0.129452599668245,2
"rps",3,0.131992080828758,2
"rps",4,0.126447972632515,2
"rps",5,0.122701921890958,2
"cint",1,0.00348966704688863,2
"cint",2,-0.00764817781078239,2
"cint",3,0.300131410052622,2
"cint",4,-0.021448972576883,2
"cint",5,0.662100830633316,2
"cslope",1,0.6514901041989,2
"cslope",2,1.34074326860466,2
"cslope",3,0.542872781254429,2
"cslope",4,1.09239915854633,2
"cslope",5,0.763746508577388,2
"brier",1,0.112667485279075,2
"brier",2,0.102256013057826,2
"brier",3,0.102297009824876,2
"brier",4,0.100550357856082,2
"brier",5,0.0845067677057849,2
"auc",1,0.672222222222222,2
"auc",2,0.75,2
"auc",3,0.627777777777778,2
"auc",4,0.755555555555556,2
"auc",5,0.816666666666667,2
"eauc",1,0.327777777777778,2
"eauc",2,0.25,2
"eauc",3,0.372222222222222,2
"eauc",4,0.244444444444444,2
"eauc",5,0.183333333333333,2
"qwk",1,0.203288490284006,2
"qwk",2,0.181762357998158,2
"qwk",3,0.266812945693911,2
"qwk",4,0.266812945693911,2
"qwk",5,0.265936822898848,2
"eqwk",1,0.796711509715994,2
"eqwk",2,0.818237642001842,2
