"metric","topn","val","method","spl"
"acc",1,0.75609756097561,"linear",1
"binacc",1,0.75609756097561,"linear",1
"eacc",1,0.24390243902439,"linear",1
"ebinacc",1,0.24390243902439,"linear",1
"nll",1,0.458159268289975,"linear",1
"binnll",1,0.458159268289975,"linear",1
"rps",1,0.131225151982614,"linear",1
"cint",1,-0.649553657199544,"linear",1
"cslope",1,0.17410328077617,"linear",1
"brier",1,0.131225151982614,"linear",1
"auc",1,0.587837837837838,"linear",1
"eauc",1,0.412162162162162,"linear",1
"qwk",1,-0.132596685082873,"linear",1
"eqwk",1,1.13259668508287,"linear",1
"acc",2,0.853658536585366,"linear",1
"binacc",2,0.853658536585366,"linear",1
"eacc",2,0.146341463414634,"linear",1
"ebinacc",2,0.146341463414634,"linear",1
"nll",2,0.359093315689418,"linear",1
"binnll",2,0.359093315689418,"linear",1
"rps",2,0.110111929639885,"linear",1
"cint",2,-0.219539492698621,"linear",1
"cslope",2,0.324828143567713,"linear",1
"brier",2,0.110111929639885,"linear",1
"auc",2,0.695945945945946,"linear",1
"eauc",2,0.304054054054054,"linear",1
"qwk",2,-0.0695652173913044,"linear",1
"eqwk",2,1.0695652173913,"linear",1
"acc",3,0.829268292682927,"linear",1
"binacc",3,0.829268292682927,"linear",1
"eacc",3,0.170731707317073,"linear",1
"ebinacc",3,0.170731707317073,"linear",1
"nll",3,0.337675990577368,"linear",1
"binnll",3,0.337675990577368,"linear",1
"rps",3,0.10656089112724,"linear",1
"cint",3,-0.373987359136784,"linear",1
"cslope",3,0.398804866451448,"linear",1
"brier",3,0.10656089112724,"linear",1
"auc",3,0.736486486486487,"linear",1
"eauc",3,0.263513513513513,"linear",1
"qwk",3,-0.0912547528517109,"linear",1
"eqwk",3,1.09125475285171,"linear",1
"acc",4,0.829268292682927,"linear",1
"binacc",4,0.829268292682927,"linear",1
"eacc",4,0.170731707317073,"linear",1
"ebinacc",4,0.170731707317073,"linear",1
"nll",4,0.346578549112549,"linear",1
"binnll",4,0.346578549112549,"linear",1
"rps",4,0.107553644361636,"linear",1
"cint",4,-0.363168741280131,"linear",1
"cslope",4,0.368752736032104,"linear",1
"brier",4,0.107553644361636,"linear",1
"auc",4,0.736486486486487,"linear",1
"eauc",4,0.263513513513513,"linear",1
"qwk",4,-0.0912547528517109,"linear",1
"eqwk",4,1.09125475285171,"linear",1
"acc",5,0.853658536585366,"linear",1
"binacc",5,0.853658536585366,"linear",1
"eacc",5,0.146341463414634,"linear",1
"ebinacc",5,0.146341463414634,"linear",1
"nll",5,0.314448740616172,"linear",1
"binnll",5,0.314448740616172,"linear",1
"rps",5,0.1007018981602,"linear",1
"cint",5,-0.249455281090037,"linear",1
"cslope",5,0.484345995540308,"linear",1
"brier",5,0.1007018981602,"linear",1
"auc",5,0.763513513513513,"linear",1
"eauc",5,0.236486486486487,"linear",1
"qwk",5,-0.0695652173913044,"linear",1
"eqwk",5,1.0695652173913,"linear",1
"acc",1,0.75609756097561,"log-linear",1
"binacc",1,0.75609756097561,"log-linear",1
"eacc",1,0.24390243902439,"log-linear",1
"ebinacc",1,0.24390243902439,"log-linear",1
"nll",1,0.458159268289975,"log-linear",1
"binnll",1,0.458159268289975,"log-linear",1
"rps",1,0.131225151982614,"log-linear",1
"cint",1,-0.649553657199544,"log-linear",1
"cslope",1,0.17410328077617,"log-linear",1
"brier",1,0.131225151982614,"log-linear",1
"auc",1,0.587837837837838,"log-linear",1
"eauc",1,0.412162162162162,"log-linear",1
"qwk",1,-0.132596685082873,"log-linear",1
"eqwk",1,1.13259668508287,"log-linear",1
"acc",2,0.853658536585366,"log-linear",1
"binacc",2,0.853658536585366,"log-linear",1
"eacc",2,0.146341463414634,"log-linear",1
"ebinacc",2,0.146341463414634,"log-linear",1
"nll",2,0.365348847778525,"log-linear",1
"binnll",2,0.365348847778525,"log-linear",1
"rps",2,0.113541141423248,"log-linear",1
"cint",2,-0.302263339440371,"log-linear",1
"cslope",2,0.316159385236897,"log-linear",1
"brier",2,0.113541141423248,"log-linear",1
"auc",2,0.695945945945946,"log-linear",1
"eauc",2,0.304054054054054,"log-linear",1
"qwk",2,-0.0695652173913044,"log-linear",1
"eqwk",2,1.0695652173913,"log-linear",1
"acc",3,0.829268292682927,"log-linear",1
"binacc",3,0.829268292682927,"log-linear",1
"eacc",3,0.170731707317073,"log-linear",1
"ebinacc",3,0.170731707317073,"log-linear",1
"nll",3,0.340644609453479,"log-linear",1
"binnll",3,0.340644609453479,"log-linear",1
"rps",3,0.108302803579992,"log-linear",1
"cint",3,-0.458240192940287,"log-linear",1
"cslope",3,0.39813088174721,"log-linear",1
"brier",3,0.108302803579992,"log-linear",1
"auc",3,0.736486486486487,"log-linear",1
"eauc",3,0.263513513513513,"log-linear",1
"qwk",3,-0.0912547528517109,"log-linear",1
"eqwk",3,1.09125475285171,"log-linear",1
"acc",4,0.829268292682927,"log-linear",1
"binacc",4,0.829268292682927,"log-linear",1
"eacc",4,0.170731707317073,"log-linear",1
"ebinacc",4,0.170731707317073,"log-linear",1
"nll",4,0.347480656458013,"log-linear",1
"binnll",4,0.347480656458013,"log-linear",1
"rps",4,0.108524317339252,"log-linear",1
"cint",4,-0.442351167535707,"log-linear",1
"cslope",4,0.374581408995571,"log-linear",1
"brier",4,0.108524317339252,"log-linear",1
"auc",4,0.736486486486487,"log-linear",1
"eauc",4,0.263513513513513,"log-linear",1
"qwk",4,-0.0912547528517109,"log-linear",1
"eqwk",4,1.09125475285171,"log-linear",1
"acc",5,0.853658536585366,"log-linear",1
"binacc",5,0.853658536585366,"log-linear",1
"eacc",5,0.146341463414634,"log-linear",1
"ebinacc",5,0.146341463414634,"log-linear",1
"nll",5,0.31656636649708,"log-linear",1
"binnll",5,0.31656636649708,"log-linear",1
"rps",5,0.102327436815232,"log-linear",1
"cint",5,-0.338042100837765,"log-linear",1
"cslope",5,0.480899236551549,"log-linear",1
"brier",5,0.102327436815232,"log-linear",1
"auc",5,0.77027027027027,"log-linear",1
"eauc",5,0.22972972972973,"log-linear",1
"qwk",5,-0.0695652173913044,"log-linear",1
"eqwk",5,1.0695652173913,"log-linear",1
"acc",1,0.75609756097561,"trafo",1
"binacc",1,0.75609756097561,"trafo",1
"eacc",1,0.24390243902439,"trafo",1
"ebinacc",1,0.24390243902439,"trafo",1
"nll",1,0.458159268289975,"trafo",1
"binnll",1,0.458159268289975,"trafo",1
"rps",1,0.131225151982614,"trafo",1
"cint",1,-0.649553657199543,"trafo",1
"cslope",1,0.174103280776173,"trafo",1
"brier",1,0.131225151982614,"trafo",1
"auc",1,0.587837837837838,"trafo",1
"eauc",1,0.412162162162162,"trafo",1
"qwk",1,-0.132596685082873,"trafo",1
"eqwk",1,1.13259668508287,"trafo",1
"acc",2,0.853658536585366,"trafo",1
"binacc",2,0.853658536585366,"trafo",1
"eacc",2,0.146341463414634,"trafo",1
"ebinacc",2,0.146341463414634,"trafo",1
"nll",2,0.385350772899608,"trafo",1
"binnll",2,0.385350772899608,"trafo",1
"rps",2,0.115408614384953,"trafo",1
"cint",2,-0.136753563238832,"trafo",1
"cslope",2,0.249151087112888,"trafo",1
"brier",2,0.115408614384953,"trafo",1
"auc",2,0.675675675675676,"trafo",1
"eauc",2,0.324324324324324,"trafo",1
"qwk",2,-0.0695652173913044,"trafo",1
"eqwk",2,1.0695652173913,"trafo",1
"acc",3,0.829268292682927,"trafo",1
"binacc",3,0.829268292682927,"trafo",1
"eacc",3,0.170731707317073,"trafo",1
"ebinacc",3,0.170731707317073,"trafo",1
"nll",3,0.371306658710511,"trafo",1
"binnll",3,0.371306658710511,"trafo",1
"rps",3,0.113680577563261,"trafo",1
"cint",3,-0.247681320173234,"trafo",1
"cslope",3,0.289764759067058,"trafo",1
"brier",3,0.113680577563261,"trafo",1
"auc",3,0.695945945945946,"trafo",1
"eauc",3,0.304054054054054,"trafo",1
"qwk",3,-0.0912547528517109,"trafo",1
"eqwk",3,1.09125475285171,"trafo",1
"acc",4,0.829268292682927,"trafo",1
"binacc",4,0.829268292682927,"trafo",1
"eacc",4,0.170731707317073,"trafo",1
"ebinacc",4,0.170731707317073,"trafo",1
"nll",4,0.377834334573303,"trafo",1
"binnll",4,0.377834334573303,"trafo",1
"rps",4,0.113280491431165,"trafo",1
"cint",4,-0.238019155300545,"trafo",1
"cslope",4,0.275991744343936,"trafo",1
"brier",4,0.113280491431165,"trafo",1
"auc",4,0.682432432432432,"trafo",1
"eauc",4,0.317567567567568,"trafo",1
"qwk",4,-0.0912547528517109,"trafo",1
"eqwk",4,1.09125475285171,"trafo",1
"acc",5,0.853658536585366,"trafo",1
"binacc",5,0.853658536585366,"trafo",1
"eacc",5,0.146341463414634,"trafo",1
"ebinacc",5,0.146341463414634,"trafo",1
"nll",5,0.348089627547446,"trafo",1
"binnll",5,0.348089627547446,"trafo",1
"rps",5,0.106810687532611,"trafo",1
"cint",5,-0.119798097834168,"trafo",1
"cslope",5,0.348929002455929,"trafo",1
"brier",5,0.106810687532611,"trafo",1
"auc",5,0.702702702702703,"trafo",1
"eauc",5,0.297297297297297,"trafo",1
"qwk",5,-0.0695652173913044,"trafo",1
"eqwk",5,1.0695652173913,"trafo",1
