"metric","topn","val","method","spl"
"acc",1,0.439024390243902,"linear",1
"binacc",1,0.853658536585366,"linear",1
"eacc",1,0.560975609756098,"linear",1
"ebinacc",1,0.146341463414634,"linear",1
"nll",1,1.39144691647836,"linear",1
"binnll",1,0.261127163754367,"linear",1
"rps",1,0.100158174954534,"linear",1
"cint",1,-7.85975574488383,"linear",1
"cslope",1,0.515499779797596,"linear",1
"brier",1,0.084252276385174,"linear",1
"auc",1,0.891891891891892,"linear",1
"eauc",1,0.108108108108108,"linear",1
"qwk",1,0.231138246838203,"linear",1
"eqwk",1,0.768861753161797,"linear",1
"acc",2,0.414634146341463,"linear",1
"binacc",2,0.878048780487805,"linear",1
"eacc",2,0.585365853658537,"linear",1
"ebinacc",2,0.121951219512195,"linear",1
"nll",2,1.44866452495318,"linear",1
"binnll",2,0.258484938672318,"linear",1
"rps",2,0.104553343804013,"linear",1
"cint",2,-7.67226113511155,"linear",1
"cslope",2,0.488921846584904,"linear",1
"brier",2,0.082597372281357,"linear",1
"auc",2,0.871621621621622,"linear",1
"eauc",2,0.128378378378378,"linear",1
"qwk",2,0.10359905819038,"linear",1
"eqwk",2,0.89640094180962,"linear",1
"acc",3,0.439024390243902,"linear",1
"binacc",3,0.878048780487805,"linear",1
"eacc",3,0.560975609756098,"linear",1
"ebinacc",3,0.121951219512195,"linear",1
"nll",3,1.42021286340962,"linear",1
"binnll",3,0.261412942928453,"linear",1
"rps",3,0.102659902204785,"linear",1
"cint",3,-7.82159907577371,"linear",1
"cslope",3,0.512357992941855,"linear",1
"brier",3,0.0836582658066066,"linear",1
"auc",3,0.871621621621622,"linear",1
"eauc",3,0.128378378378378,"linear",1
"qwk",3,0.231138246838203,"linear",1
"eqwk",3,0.768861753161797,"linear",1
"acc",4,0.439024390243902,"linear",1
"binacc",4,0.853658536585366,"linear",1
"eacc",4,0.560975609756098,"linear",1
"ebinacc",4,0.146341463414634,"linear",1
"nll",4,1.42456709857559,"linear",1
"binnll",4,0.267002302665773,"linear",1
"rps",4,0.103759080642335,"linear",1
"cint",4,-7.85307031721206,"linear",1
"cslope",4,0.500212733707069,"linear",1
"brier",4,0.0854367887736547,"linear",1
"auc",4,0.871621621621622,"linear",1
"eauc",4,0.128378378378378,"linear",1
"qwk",4,0.231138246838203,"linear",1
"eqwk",4,0.768861753161797,"linear",1
"acc",5,0.439024390243902,"linear",1
"binacc",5,0.853658536585366,"linear",1
"eacc",5,0.560975609756098,"linear",1
"ebinacc",5,0.146341463414634,"linear",1
"nll",5,1.44062137085403,"linear",1
"binnll",5,0.273409717507588,"linear",1
"rps",5,0.105864502200994,"linear",1
"cint",5,-7.86895817323748,"linear",1
"cslope",5,0.471343509069004,"linear",1
"brier",5,0.0877741725453984,"linear",1
"auc",5,0.858108108108108,"linear",1
"eauc",5,0.141891891891892,"linear",1
"qwk",5,0.231138246838203,"linear",1
"eqwk",5,0.768861753161797,"linear",1
"acc",1,0.439024390243902,"log-linear",1
"binacc",1,0.853658536585366,"log-linear",1
"eacc",1,0.560975609756098,"log-linear",1
"ebinacc",1,0.146341463414634,"log-linear",1
"nll",1,1.39144691647836,"log-linear",1
"binnll",1,0.261127163754367,"log-linear",1
"rps",1,0.100158174954534,"log-linear",1
"cint",1,-7.85975574488383,"log-linear",1
"cslope",1,0.515499779797596,"log-linear",1
"brier",1,0.084252276385174,"log-linear",1
"auc",1,0.891891891891892,"log-linear",1
"eauc",1,0.108108108108108,"log-linear",1
"qwk",1,0.231138246838203,"log-linear",1
"eqwk",1,0.768861753161797,"log-linear",1
"acc",2,0.439024390243902,"log-linear",1
"binacc",2,0.878048780487805,"log-linear",1
"eacc",2,0.560975609756098,"log-linear",1
"ebinacc",2,0.121951219512195,"log-linear",1
"nll",2,1.44349531133828,"log-linear",1
"binnll",2,0.258623375559432,"log-linear",1
"rps",2,0.104154849203647,"log-linear",1
"cint",2,-7.68345151087131,"log-linear",1
"cslope",2,0.489396442618015,"log-linear",1
"brier",2,0.0827167866073653,"log-linear",1
"auc",2,0.871621621621622,"log-linear",1
"eauc",2,0.128378378378378,"log-linear",1
"qwk",2,0.104014907674064,"log-linear",1
"eqwk",2,0.895985092325936,"log-linear",1
"acc",3,0.439024390243902,"log-linear",1
"binacc",3,0.853658536585366,"log-linear",1
"eacc",3,0.560975609756098,"log-linear",1
"ebinacc",3,0.146341463414634,"log-linear",1
"nll",3,1.41452897087006,"log-linear",1
"binnll",3,0.261750188021261,"log-linear",1
"rps",3,0.102268193988914,"log-linear",1
"cint",3,-7.83846638965257,"log-linear",1
"cslope",3,0.512657144974726,"log-linear",1
"brier",3,0.0839049414433571,"log-linear",1
"auc",3,0.878378378378378,"log-linear",1
"eauc",3,0.121621621621622,"log-linear",1
"qwk",3,0.268285547103569,"log-linear",1
"eqwk",3,0.731714452896431,"log-linear",1
"acc",4,0.439024390243902,"log-linear",1
"binacc",4,0.829268292682927,"log-linear",1
"eacc",4,0.560975609756098,"log-linear",1
"ebinacc",4,0.170731707317073,"log-linear",1
"nll",4,1.42219554862286,"log-linear",1
"binnll",4,0.267631923767143,"log-linear",1
"rps",4,0.103720547788539,"log-linear",1
"cint",4,-7.8685749170671,"log-linear",1
"cslope",4,0.498437177760492,"log-linear",1
"brier",4,0.0857811671475345,"log-linear",1
"auc",4,0.871621621621622,"log-linear",1
"eauc",4,0.128378378378378,"log-linear",1
"qwk",4,0.268285547103569,"log-linear",1
"eqwk",4,0.731714452896431,"log-linear",1
"acc",5,0.439024390243902,"log-linear",1
"binacc",5,0.853658536585366,"log-linear",1
"eacc",5,0.560975609756098,"log-linear",1
"ebinacc",5,0.146341463414634,"log-linear",1
"nll",5,1.4395699742071,"log-linear",1
"binnll",5,0.274181131833264,"log-linear",1
"rps",5,0.105943579742326,"log-linear",1
"cint",5,-7.88396838951288,"log-linear",1
"cslope",5,0.46885629547929,"log-linear",1
"brier",5,0.0881723343609226,"log-linear",1
"auc",5,0.858108108108108,"log-linear",1
"eauc",5,0.141891891891892,"log-linear",1
"qwk",5,0.231138246838203,"log-linear",1
"eqwk",5,0.768861753161797,"log-linear",1
"acc",1,0.439024390243902,"trafo",1
"binacc",1,0.853658536585366,"trafo",1
"eacc",1,0.560975609756098,"trafo",1
"ebinacc",1,0.146341463414634,"trafo",1
"nll",1,1.39144691647836,"trafo",1
"binnll",1,0.261127163754367,"trafo",1
"rps",1,0.100158174954534,"trafo",1
"cint",1,-7.85975574488383,"trafo",1
"cslope",1,0.515499779797596,"trafo",1
"brier",1,0.084252276385174,"trafo",1
"auc",1,0.891891891891892,"trafo",1
"eauc",1,0.108108108108108,"trafo",1
"qwk",1,0.231138246838203,"trafo",1
"eqwk",1,0.768861753161797,"trafo",1
"acc",2,0.439024390243902,"trafo",1
"binacc",2,0.878048780487805,"trafo",1
"eacc",2,0.560975609756098,"trafo",1
"ebinacc",2,0.121951219512195,"trafo",1
"nll",2,1.45174578913807,"trafo",1
"binnll",2,0.259174742598813,"trafo",1
"rps",2,0.104855385410517,"trafo",1
"cint",2,-7.64709734698495,"trafo",1
"cslope",2,0.482338840541624,"trafo",1
"brier",2,0.082744677787636,"trafo",1
"auc",2,0.864864864864865,"trafo",1
"eauc",2,0.135135135135135,"trafo",1
"qwk",2,0.104014907674064,"trafo",1
"eqwk",2,0.895985092325936,"trafo",1
"acc",3,0.439024390243902,"trafo",1
"binacc",3,0.878048780487805,"trafo",1
"eacc",3,0.560975609756098,"trafo",1
"ebinacc",3,0.121951219512195,"trafo",1
"nll",3,1.42265860519503,"trafo",1
"binnll",3,0.26147078893563,"trafo",1
"rps",3,0.102991758993562,"trafo",1
"cint",3,-7.78455201017407,"trafo",1
"cslope",3,0.500047652697352,"trafo",1
"brier",3,0.08404382519504,"trafo",1
"auc",3,0.864864864864865,"trafo",1
"eauc",3,0.135135135135135,"trafo",1
"qwk",3,0.268285547103569,"trafo",1
"eqwk",3,0.731714452896431,"trafo",1
"acc",4,0.439024390243902,"trafo",1
"binacc",4,0.853658536585366,"trafo",1
"eacc",4,0.560975609756098,"trafo",1
"ebinacc",4,0.146341463414634,"trafo",1
"nll",4,1.4276027711459,"trafo",1
"binnll",4,0.266431432237532,"trafo",1
"rps",4,0.104041382360596,"trafo",1
"cint",4,-7.8204493514945,"trafo",1
"cslope",4,0.490370643346668,"trafo",1
"brier",4,0.0855326754435839,"trafo",1
"auc",4,0.864864864864865,"trafo",1
"eauc",4,0.135135135135135,"trafo",1
"qwk",4,0.268285547103569,"trafo",1
"eqwk",4,0.731714452896431,"trafo",1
"acc",5,0.439024390243902,"trafo",1
"binacc",5,0.853658536585366,"trafo",1
"eacc",5,0.560975609756098,"trafo",1
"ebinacc",5,0.146341463414634,"trafo",1
"nll",5,1.44301955314912,"trafo",1
"binnll",5,0.272575503014766,"trafo",1
"rps",5,0.106040109768987,"trafo",1
"cint",5,-7.83753553502727,"trafo",1
"cslope",5,0.463769804267666,"trafo",1
"brier",5,0.0878219801890296,"trafo",1
"auc",5,0.864864864864865,"trafo",1
"eauc",5,0.135135135135135,"trafo",1
"qwk",5,0.268285547103569,"trafo",1
"eqwk",5,0.731714452896431,"trafo",1
"acc",1,0.439024390243902,"avg",1
"binacc",1,0.853658536585366,"avg",1
"eacc",1,0.560975609756098,"avg",1
"ebinacc",1,0.146341463414634,"avg",1
"nll",1,1.39144691647836,"avg",1
"binnll",1,0.261127163754367,"avg",1
"rps",1,0.100158174954534,"avg",1
"cint",1,-7.85975574488383,"avg",1
"cslope",1,0.515499779797596,"avg",1
"brier",1,0.084252276385174,"avg",1
"auc",1,0.891891891891892,"avg",1
